,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
GS8,1020,458,5267,5800,5073,5552,5081,5632,6073,5421,5019,4920,4636,4543,6259,6125,5699,5776,6038,6006,5696,6084,6043,6877,7152,6269,7155,7283,7244,7694,7530,7601,6935,6252,6059,6392,6299,5392,7239,5685,6544,4849,5116,2663,6849,5983,5756,5401,4406,2079,5919,5286,6005,5640,6670,6330,5382,5540,6166,6026,6240,6279,6192,6163,4243,4917,4710,4779,6131,5739,5858,5845,6583,6387,6576,6145,6954,5726,4958,6565,6644,5043,4634,5965,5577,4250,6848,5479,5306,5572,5273,3272,6277,6179,5777,5757,5263,1958
GS8,1020,459,6146,6776,5879,6523,5913,6549,7078,6295,5816,5731,5349,5229,7246,7144,6677,6708,7010,6968,6587,7079,7017,8021,8312,7301,8301,8469,8416,8949,8723,8848,8059,7302,7070,7427,7320,6226,8349,6586,7557,5615,5938,3065,7916,6929,6685,6265,5094,2393,6916,6166,6993,6544,7785,7383,6311,6416,7196,6976,7283,7284,7199,7137,4902,5672,5451,5501,7139,6708,6845,6835,7687,7385,7642,7167,8114,6650,5772,7647,7747,5890,5422,6949,6480,4947,7907,6314,6137,6470,6103,3793,7273,7130,6685,6695,6122,2265
GS8,1020,460,7093,7791,6801,7507,6844,7575,8134,7256,6701,6581,6155,6015,8361,8251,7678,7772,8131,8069,7603,8122,8061,9276,9609,8393,9521,9778,9699,10327,10100,10176,9238,8380,8138,8580,8432,7184,9695,7621,8703,6499,6842,3532,9090,7976,7661,7196,5880,2734,7969,7097,8072,7587,8979,8539,7278,7384,8256,8062,8348,8396,8314,8221,5601,6502,6223,6263,8215,7733,7881,7846,8891,8492,8818,8248,9313,7650,6642,8836,8875,6758,6256,8005,7487,5703,9109,7291,7068,7460,7018,4364,8378,8208,7721,7665,7052,2617
GS8,1020,461,8075,8878,7758,8538,7792,8620,9256,8250,7605,7470,6981,6875,9530,9419,8751,8830,9224,9128,8667,9243,9212,10532,10920,9590,10794,11101,11002,11734,11523,11577,10520,9509,9197,9721,9590,8166,10930,8616,9867,7340,7763,4005,10380,9030,8725,8196,6695,3107,9093,8109,9183,8620,10228,9671,8270,8365,9421,9169,9481,9533,9414,9326,6367,7346,7047,7073,9395,8766,8960,8935,10077,9706,10052,9367,10610,8699,7520,10046,10066,7686,7086,9049,8480,6464,10348,8272,8026,8441,7966,4941,9551,9336,8737,8713,7989,2953
GS8,1020,462,9363,10280,8950,9907,9001,9956,10624,9523,8734,8589,8024,7864,10958,10820,10081,10159,10628,10536,9923,10691,10558,12111,12590,11012,12473,12749,12695,13522,13267,13293,12137,10956,10629,11205,11047,9397,12611,9909,11366,8529,8945,4592,11867,10429,9988,9416,7673,3534,10500,9340,10668,9973,11786,11159,9568,9669,10883,10583,10991,10997,10874,10746,7331,8441,8065,8095,10788,10090,10296,10295,11595,11163,11578,10788,12214,10013,8692,11517,11563,8837,8120,10448,9774,7436,11902,9517,9227,9717,9128,5668,10959,10754,10070,10049,9204,3395
GS8,1020,463,10464,11507,10042,11080,10070,11139,11963,10639,9810,9618,8985,8811,12315,12156,11288,11379,11938,11869,11147,11897,11851,13560,14093,12363,13963,14257,14226,15131,14765,14925,13566,12251,11872,12533,12370,10546,14067,11127,12756,9498,9983,5162,13321,11628,11197,10506,8623,3944,11769,10453,11913,11159,13189,12457,10694,10846,12160,11848,12294,12270,12161,11983,8168,9451,8991,9001,12094,11301,11543,11525,13029,12501,12892,12047,13676,11227,9709,12903,12986,9942,9101,11697,10962,8328,13308,10653,10309,10849,10222,6382,12252,12034,11194,11219,10257,3785
GS8,1020,464,11628,12805,11096,12258,11158,12357,13138,11729,10842,10622,9894,9752,13594,13423,12457,12592,13166,13074,12288,13126,13113,14980,15547,13616,15402,15805,15728,16771,16355,16424,14939,13546,13092,13869,13670,11634,15526,12277,14078,10490,11072,5676,14726,12898,12389,11588,9488,4360,13017,11593,13165,12289,14539,13754,11777,12009,13401,13115,13614,13555,13453,13258,8992,10369,9905,9923,13348,12508,12770,12724,14399,13825,14302,13295,15086,12360,10732,14271,14351,10932,10083,12879,12102,9148,14758,11777,11422,11987,11256,6999,13562,13306,12413,12363,11314,4159
GS8,1020,465,12927,14210,12343,13671,12403,13766,14682,13033,12025,11828,11050,10797,15120,14900,13871,14027,14646,14539,13605,14614,14520,16629,17198,15129,17116,17508,17449,18640,18223,18250,16589,15009,14579,15380,15161,12861,17242,13575,15644,11635,12270,6288,16369,14259,13760,12817,10517,4825,14459,12904,14722,13676,16218,15284,13133,13303,14862,14563,15022,15111,14910,14675,10007,11541,11039,11003,14802,13904,14108,14172,15956,15375,15826,14742,16773,13761,11930,15795,15883,12132,11206,14312,13380,10219,16320,13054,12659,13220,12494,7737,14986,14722,13755,13746,12594,4620
GS8,1020,466,13885,15325,13308,14762,13349,14782,15839,14069,13003,12736,11944,11660,16316,16053,14988,15118,15829,15693,14703,15725,15625,17931,18615,16257,18424,18885,18790,20054,19595,19612,17903,16235,15662,16614,16334,13890,18563,14623,16834,12541,13203,6791,17649,15364,14778,13858,11388,5202,15570,13912,15815,14786,17513,16530,14150,14419,16073,15689,16220,16231,16092,15783,10792,12439,11814,11800,16021,14997,15262,15261,17252,16541,17129,15882,18159,14828,12859,17003,17148,13025,12017,15454,14466,10953,17676,14083,13627,14348,13477,8367,16217,15900,14787,14830,13549,4989
GS8,1020,467,14884,16454,14273,15781,14338,15904,16847,14996,13842,13584,12741,12454,17417,17133,16002,16125,16858,16690,15648,16786,16662,19137,19880,17403,19708,20215,20149,21463,20826,20973,19119,17289,16775,17714,17469,14896,19810,15667,18039,13420,14105,7257,18838,16434,15805,14802,12088,5510,16645,14888,16909,15823,18664,17670,15185,15389,17200,16773,17385,17346,17169,16932,11523,13290,12624,12627,17153,15972,16338,16398,18476,17718,18238,17008,19303,15832,13755,18210,18390,13951,12859,16504,15452,11741,18863,15042,14589,15301,14429,8947,17275,16994,15816,15870,14458,5303
GS8,1020,468,15799,17330,15153,16782,15156,16785,17951,15963,14697,14413,13502,13214,18483,18190,16950,17094,17899,17731,16653,17809,17726,20296,21026,18442,20954,21439,21339,22703,22137,22247,20259,18374,17808,18765,18545,15695,21013,16641,19065,14205,14966,7669,19908,17454,16744,15731,12821,5827,17661,15753,17969,16731,19788,18720,16015,16287,18243,17772,18423,18337,18180,17878,12189,14064,13386,13334,18199,16938,17289,17320,19627,18791,19322,18058,20477,16833,14503,19258,19384,14796,13599,17459,16345,12435,19942,15960,15478,16225,15259,9443,18303,18014,16765,16813,15322,5617
GS8,1020,469,16717,18491,16053,17729,16052,17783,18979,16921,15555,15259,14321,14008,19552,19252,17976,18106,18904,18722,17594,18817,18725,21362,22220,19500,22107,22666,22567,23996,23373,23459,21426,19419,18783,19854,19614,16654,22186,17562,20198,15013,15765,8133,21047,18443,17723,16508,13559,6154,18742,16687,18992,17739,21034,19815,16971,17294,19306,18777,19424,19385,19221,18941,12948,14831,14175,14136,19226,17971,18339,18301,20746,19988,20406,19063,21698,17742,15429,20369,20444,15677,14421,18485,17341,13148,21085,16871,16329,17124,16143,9968,19390,18957,17698,17758,16108,5973
GS8,1020,470,17389,19194,16665,18519,16701,18586,19649,17533,16147,15859,14845,14484,20255,20048,18638,18838,19702,19435,18298,19624,19547,22246,23090,20287,23024,23573,23423,24933,24356,24406,22251,20157,19509,20651,20351,17286,23086,18249,20985,15598,16418,8423,21949,19166,18373,17203,14097,6378,19508,17350,19782,18476,21808,20621,17709,17955,20084,19583,20216,20181,20005,19702,13442,15501,14736,14681,19988,18712,19123,19112,21552,20856,21333,19831,22548,18501,16018,21184,21387,16282,15052,19184,17976,13687,21963,17495,17003,17784,16779,10399,20147,19724,18434,18439,16850,6180
GS8,1020,471,17703,19505,16986,18727,17094,18859,20012,17829,16474,16113,15153,14824,20711,20475,19047,19196,20052,19811,18665,19959,19814,22702,23575,20599,23419,24029,23881,25370,24817,24796,22686,20541,19862,21049,20746,17614,23571,18594,21375,15937,16711,8619,22317,19534,18741,17557,14347,6540,19911,17712,20191,18862,22258,20986,18044,18247,20451,19903,20574,20609,20422,20120,13711,15767,15017,14967,20277,19041,19454,19505,22072,21217,21699,20242,22975,18824,16361,21571,21743,16651,15305,19563,18302,13920,22325,17849,17262,18096,17050,10613,20492,20156,18792,18812,17159,6275
GS8,1020,472,18102,20010,17408,19237,17381,19262,20579,18319,16863,16584,15553,15207,21160,20831,19431,19569,20474,20288,19043,20402,20321,23215,24035,21106,24011,24553,24447,25953,25424,25450,23310,21074,20391,21531,21254,18042,24184,19118,21961,16345,17095,8814,22860,20025,19236,17990,14724,6685,20289,18012,20603,19218,22668,21407,18458,18688,20886,20337,20944,20929,20797,20518,13990,16141,15301,15356,20830,19496,19948,19993,22654,21821,22210,20655,23529,19342,16677,22125,22314,17049,15670,19998,18798,14272,22925,18337,17688,18592,17518,10904,21091,20615,19305,19256,17648,6459
GS8,1020,473,18480,20357,17732,19545,17715,19662,20748,18501,17020,16721,15667,15354,21536,21246,19847,19966,20884,20652,19421,20778,20685,23570,24493,21533,24446,25013,24865,26475,25795,25842,23733,21399,20746,21958,21592,18363,24543,19389,22264,16600,17491,8973,23336,20347,19567,18298,14927,6792,20733,18397,21020,19578,23121,21869,18782,19050,21324,20714,21490,21421,21228,20942,14257,16405,15639,15544,21152,19851,20329,20347,23099,22258,22619,21046,23999,19579,17022,22471,22725,17322,15919,20349,19077,14511,23235,18631,18040,18922,17828,11083,21331,20965,19560,19587,17901,6580
GS8,1020,474,18364,20200,17604,19427,17666,19518,20768,18472,17022,16715,15749,15340,21390,21101,19611,19853,20740,20511,19330,20690,20563,23445,24347,21370,24341,24869,24685,26273,25576,25726,23517,21339,20516,21720,21456,18250,24430,19339,22173,16470,17313,8881,23161,20212,19434,18162,14896,6733,20563,18308,20924,19478,22960,21683,18688,18897,21094,20565,21240,21213,21133,20760,14173,16353,15556,15477,21086,19792,20204,20195,23008,22152,22471,20929,23868,19530,16886,22318,22583,17298,15806,20218,18902,14389,23166,18502,17885,18787,17668,11017,21223,20784,19429,19391,17743,6544
GS8,1020,475,18507,20415,17806,19638,17805,19685,20911,18620,17183,16803,15767,15466,21683,21393,19892,20067,20930,20751,19564,20952,20814,23769,24569,21554,24629,25155,25017,26563,25934,25985,23870,21535,20816,22083,21679,18468,24795,19545,22386,16716,17547,9036,23395,20435,19645,18373,15079,6857,20818,18524,21095,19666,23264,21935,18868,19167,21323,20748,21479,21476,21378,21028,14334,16579,15738,15693,21347,19958,20464,20460,23379,22532,22761,21240,24118,19712,17135,22605,22806,17512,16017,20478,19194,14569,23410,18724,18158,18988,17973,11123,21436,21040,19721,19667,17973,6626
GS8,1020,476,18174,19997,17407,19318,17373,19284,20532,18291,16819,16561,15546,15191,21265,20962,19502,19647,20521,20332,19153,20471,20422,23202,24090,21108,24155,24631,24498,25986,25401,25439,23402,21106,20402,21622,21270,18108,24287,19165,21956,16403,17215,8863,23037,20053,19335,18030,14765,6729,20350,18121,20643,19233,22750,21423,18492,18715,20839,20352,21037,21012,20937,20605,14090,16215,15462,15389,20883,19641,20000,20101,22866,22106,22304,20769,23603,19346,16738,22047,22408,17149,15691,20089,18777,14305,22911,18400,17729,18619,17583,10943,21075,20628,19344,19296,17618,6533
GS8,1020,477,17809,19576,17110,18943,17152,19035,20338,18060,16675,16354,15354,15042,20950,20593,19224,19342,20195,20020,18898,20114,20050,22875,23726,20749,23727,24290,24183,25639,25011,25092,23008,20784,20119,21278,20940,17840,23847,18870,21607,16103,16937,8723,22715,19789,19035,17784,14540,6638,20032,17866,20313,18888,22424,21126,18233,18405,20571,20041,20667,20699,20671,20323,13853,15963,15215,15181,20554,19269,19801,19837,22571,21845,21980,20505,23270,19068,16526,21820,22037,16901,15486,19742,18515,14089,22605,18111,17532,18395,17309,10770,20756,20363,19089,19055,17300,6452
GS8,1020,478,17482,19275,16725,18501,16794,18636,19832,17600,16222,16029,14954,14700,20567,20184,18908,19008,19858,19634,18584,19827,19638,22450,23281,20424,23320,23854,23701,25149,24509,24617,22606,20505,19758,20911,20580,17512,23498,18591,21270,15803,16666,8612,22224,19385,18659,17459,14299,6553,19674,17532,19997,18604,21901,20714,17822,18154,20193,19594,20286,20250,20296,19967,13682,15749,14922,14929,20227,19018,19469,19527,22211,21492,21646,20121,22822,18694,16222,21335,21711,16541,15222,19397,18125,13785,22154,17819,17225,18080,16977,10618,20394,19938,18672,18719,17083,6331
GS8,1020,479,17046,18803,16379,18079,16465,18196,19500,17296,15954,15641,14684,14432,20068,19671,18366,18535,19412,19161,18150,19393,19214,21917,22739,19928,22793,23273,23104,24507,23945,24053,22157,19984,19283,20411,20038,17059,22940,18111,20765,15506,16328,8411,21703,19020,18313,17096,13988,6414,19172,17079,19422,18107,21360,20219,17450,17680,19703,19173,19801,19756,19724,19478,13354,15385,14569,14566,19793,18494,18999,19121,21707,21028,21111,19702,22392,18329,15858,20901,21176,16167,14823,18958,17715,13502,21727,17337,16814,17631,16678,10365,20007,19527,18298,18186,16719,6190
GS8,1020,480,16609,18326,15893,17544,15961,17706,18980,16902,15505,15239,14308,13975,19459,19208,17877,18057,18873,18624,17663,18834,18725,21337,22154,19373,22160,22603,22397,23902,23373,23376,21512,19451,18861,19951,19544,16651,22349,17681,20224,15074,15870,8184,21262,18536,17848,16602,13669,6271,18648,16582,18904,17564,20804,19642,17007,17149,19161,18670,19296,19194,19194,18979,12959,14898,14195,14241,19269,18052,18541,18564,21222,20597,20585,19222,21770,17854,15447,20350,20615,15774,14491,18493,17323,13195,21171,16969,16401,17202,16266,10111,19470,19079,17756,17798,16255,6060
GS8,1020,481,16327,17999,15659,17316,15680,17462,18506,16584,15191,14943,14040,13718,19224,18940,17633,17760,18571,18364,17392,18556,18409,21040,21789,19058,21795,22267,22148,23482,23012,23012,21178,19163,18525,19548,19227,16432,22001,17409,19886,14862,15648,8085,20897,18232,17486,16380,13430,6219,18346,16326,18582,17330,20489,19366,16751,16912,18862,18348,18991,18901,18922,18741,12742,14712,14018,14032,18956,17746,18205,18332,20854,20302,20258,18894,21408,17580,15194,20042,20364,15546,14266,18225,17015,13004,20795,16659,16180,16902,15957,9959,19201,18789,17562,17590,16043,5998
GS8,1020,482,15830,17443,15136,16814,15195,16850,18039,16111,14776,14585,13665,13405,18629,18310,17044,17230,17978,17818,16840,17970,17939,20318,21159,18519,21212,21563,21487,22750,22343,22301,20530,18583,17989,19029,18698,15889,21363,16904,19351,14456,15174,7887,20240,17732,17032,15969,13030,6083,17777,15841,17940,16772,19842,18725,16147,16314,18304,17794,18380,18304,18362,18108,12402,14312,13671,13646,18391,17258,17715,17774,20292,19747,19640,18346,20773,17021,14697,19434,19790,15133,13888,17692,16531,12578,20248,16191,15724,16456,15528,9690,18625,18213,17102,17023,15532,5861
GS8,1020,483,15413,16898,14651,16260,14793,16400,17443,15546,14310,14139,13280,12963,18100,17846,16590,16716,17479,17267,16395,17483,17372,19763,20510,17912,20520,21035,20875,22189,21687,21709,19999,18134,17485,18413,18182,15490,20703,16429,18731,14054,14800,7691,19753,17263,16530,15507,12726,5949,17250,15355,17464,16334,19281,18234,15698,15917,17737,17274,17863,17856,17910,17659,12074,13937,13254,13277,17875,16825,17185,17344,19795,19206,19085,17752,20198,16529,14306,18824,19142,14669,13558,17215,16097,12234,19730,15827,15277,15996,15113,9450,18132,17754,16568,16480,15148,5708
GS8,1020,484,15186,16716,14530,16092,14573,16132,17357,15456,14156,13980,13120,12807,17911,17600,16357,16511,17267,17043,16250,17280,17176,19581,20263,17767,20307,20684,20657,21916,21350,21429,19772,17882,17286,18273,17929,15342,20490,16241,18551,13938,14646,7672,19470,17047,16407,15332,12633,5914,17021,15191,17227,16083,19022,18060,15506,15729,17496,17083,17609,17587,17684,17374,11920,13784,13147,13139,17679,16607,17018,17095,19487,18941,18872,17608,20000,16320,14167,18644,18952,14529,13344,17016,15900,12163,19428,15569,15161,15838,14997,9372,17898,17552,16463,16404,15004,5723
GS8,1020,485,14822,16260,14128,15679,14194,15808,16909,15057,13849,13629,12839,12537,17422,17122,15935,16079,16819,16590,15824,16810,16797,19117,19744,17289,19784,20232,20075,21307,20794,20850,19278,17423,16835,17799,17509,14960,19976,15868,18120,13610,14296,7501,19015,16620,15965,14929,12366,5812,16595,14738,16781,15680,18507,17533,15096,15273,17000,16590,17120,17044,17160,16970,11640,13416,12773,12824,17235,16162,16573,16703,19004,18494,18389,17121,19424,15939,13827,18167,18477,14157,13042,16613,15531,11900,18962,15270,14772,15437,14574,9188,17527,17152,16032,16008,14665,5649
GS8,1020,486,14793,16281,14167,15640,14205,15779,16877,14920,13761,13587,12779,12492,17381,17072,15903,16086,16755,16594,15759,16770,16699,19002,19644,17230,19786,20151,20073,21232,20732,20804,19211,17412,16813,17766,17493,14920,19932,15797,18112,13554,14310,7561,18995,16599,16000,14908,12354,5895,16606,14725,16730,15618,18498,17510,15124,15247,16970,16527,17100,17086,17174,16907,11625,13389,12820,12794,17179,16138,16513,16689,18979,18441,18290,17090,19403,15898,13818,18127,18403,14172,13012,16535,15480,11863,18905,15203,14776,15433,14576,9279,17448,17101,15981,16008,14673,5695
GS8,1020,487,14499,15935,13865,15400,13946,15526,16606,14852,13654,13464,12650,12423,17139,16829,15656,15795,16535,16307,15489,16540,16402,18635,19339,16946,19423,19866,19718,20892,20426,20495,18900,17165,16563,17494,17249,14727,19603,15590,17820,13388,14124,7504,18727,16367,15723,14738,12189,5896,16324,14535,16482,15302,18145,17178,14863,14954,16681,16234,16780,16722,16875,16631,11438,13228,12614,12653,16909,15890,16277,16381,18627,18155,18064,16819,19095,15646,13601,17870,18162,13965,12836,16311,15308,11723,18624,15032,14594,15185,14379,9157,17170,16863,15777,15804,14538,5716
GS8,1020,488,14401,15833,13753,15263,13835,15380,16446,14661,13532,13289,12581,12308,16959,16636,15456,15607,16339,16189,15405,16331,16242,18444,19147,16809,19336,19713,19552,20732,20229,20260,18737,16984,16458,17370,17115,14633,19470,15470,17674,13326,14069,7541,18567,16247,15630,14660,12181,5969,16149,14398,16317,15245,17998,17002,14712,14810,16519,16050,16640,16584,16765,16506,11391,13127,12469,12509,16791,15735,16119,16194,18475,17983,17910,16728,18900,15579,13533,17726,17986,13855,12816,16248,15155,11667,18520,14903,14456,15151,14277,9166,17116,16771,15731,15707,14487,5797
GS8,1020,489,14477,15889,13783,15312,13918,15425,16435,14744,13539,13369,12649,12371,16938,16681,15535,15664,16346,16195,15393,16442,16271,18512,19150,16833,19271,19696,19588,20726,20302,20289,18841,17054,16574,17423,17238,14689,19513,15539,17804,13427,14232,7667,18607,16357,15714,14762,12249,6135,16212,14391,16320,15253,18012,17066,14706,14879,16519,16076,16567,16568,16781,16615,11408,13145,12546,12571,16837,15775,16121,16244,18501,17957,17969,16715,18999,15582,13540,17766,18052,13931,12830,16271,15272,11736,18608,15006,14499,15252,14383,9300,17116,16835,15784,15834,14586,5941
GS8,1020,490,14478,15913,13855,15352,13871,15419,16547,14796,13653,13405,12719,12467,17042,16737,15563,15685,16419,16184,15470,16428,16283,18482,19126,16810,19358,19739,19576,20740,20270,20288,18872,17085,16559,17532,17285,14799,19585,15621,17882,13452,14340,7814,18704,16371,15809,14837,12409,6257,16178,14368,16340,15249,18001,16986,14728,14841,16459,16118,16623,16591,16891,16582,11475,13212,12651,12639,16826,15841,16188,16261,18532,17949,17938,16706,19022,15623,13598,17840,18090,13965,12869,16356,15364,11851,18645,15050,14651,15263,14519,9487,17184,16880,15896,15903,14767,6107
GS8,1020,491,14555,15980,13955,15427,14006,15476,16567,14810,13677,13493,12772,12520,17070,16749,15614,15655,16424,16262,15502,16412,16291,18490,19104,16847,19333,19720,19585,20689,20286,20235,18839,17112,16605,17573,17343,14858,19588,15638,17974,13554,14426,7934,18699,16429,15840,14911,12469,6507,16240,14405,16390,15254,17971,17013,14789,14878,16535,16095,16609,16556,16892,16678,11560,13188,12647,12630,16876,15785,16223,16278,18529,17970,17960,16803,19041,15698,13633,17770,18081,13997,12916,16388,15408,11866,18738,15104,14665,15349,14569,9576,17207,16911,15934,16000,14899,6327
