,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS8,1020,522,76927,82255,79441,81013,75538,76375,76078,75381,74453,74208,66939,65701,78514,82558,81773,77311,74965,75880,0,0,0,0,0,0,73888,69144,67782,65973,62493,59776,77240,75908,76855,75949,75051,72784,75788,78906,73746,73640,72261,68790,77081,84696,80713,82524,78666,75097,33716,29447,28589,29944,28328,25912,33498,31165,27058,27357,26349,23865,33369,31413,32042,30966,30912,30024,32221,32421,31027,30310,29765,28615,31049,30335,31542,30302,26264,25304,37190,33897,34599,35530,38046,37167,40062,35434,32233,34249,38102,36880,37763,33874,32125,32368,36298,31743
GS8,1020,523,74476,79413,76852,78441,73034,74096,73821,72955,72126,71669,64917,63328,76094,79947,79318,74799,72523,73576,0,0,0,0,0,0,71750,67170,65758,63859,60624,57940,74755,73391,74432,73491,72719,70502,73372,76164,71558,71337,69884,66680,74690,82189,78277,80036,76395,72856,32672,28449,27665,28845,27307,25081,32430,30125,26189,26468,25515,23061,32249,30408,30962,29999,29929,29058,31154,31430,30018,29359,28723,27748,29949,29416,30509,29263,25456,24491,35990,32718,33406,34262,36686,35858,38734,34231,31045,33113,36737,35609,36598,32671,31139,31323,35144,30686
GS8,1020,524,71243,75928,73565,74821,69805,70582,70473,69616,68888,68555,61977,60459,72646,76326,75477,71383,69086,70049,0,0,0,0,0,0,68614,64133,62907,61127,57858,55441,71488,70274,71315,70280,69315,67137,70178,72800,68258,68189,66903,63740,71395,78597,74763,76623,72984,69759,30845,26915,26142,27251,25806,23667,30641,28462,24763,25044,24140,21740,30480,28712,29209,28246,28242,27398,29387,29704,28366,27706,27129,26202,28281,27704,28848,27746,23966,23095,33974,30855,31501,32376,34588,33895,36524,32102,29280,31194,34762,33636,34492,31008,29367,29588,33091,28967
GS8,1020,525,67736,72092,69883,71306,66320,67367,67102,66296,65574,65245,58899,57512,69117,72614,71869,68004,65888,66613,0,0,0,0,0,0,65192,61106,59909,58203,55170,52922,68018,66697,67614,66748,65935,63872,66598,69339,64972,64656,63536,60463,67967,74705,71347,72805,69634,66462,29510,25717,25023,26097,24727,22669,29349,27225,23668,23934,23112,20789,29203,27518,28032,27200,26971,26211,28209,28486,27142,26552,26008,25006,27142,26598,27629,26505,22934,22122,32476,29465,30199,30966,33070,32282,34878,30704,28026,29836,33253,32048,33027,29626,28086,28390,31753,27710
GS8,1020,526,64379,68605,66518,67926,63284,64100,63802,63117,62475,62099,56045,54778,65844,69168,68565,64473,62628,63465,0,0,0,0,0,0,62288,58394,57062,55625,52726,50551,64853,63561,64546,63705,62774,60675,63600,66186,61971,61731,60553,57689,64902,71357,67845,69606,66291,63372,27911,24398,23693,24753,23412,21478,27718,25802,22372,22624,21811,19696,27601,26050,26447,25637,25496,24780,26654,26911,25738,25190,24614,23729,25710,25183,26137,25142,21716,20948,30913,27965,28618,29357,31413,30687,33192,29233,26566,28385,31557,30549,31266,28170,26770,27029,30201,26397
GS8,1020,527,61213,65154,63096,64416,59922,60709,60648,59862,59356,58993,53253,52034,62385,65563,64877,61226,59284,59984,0,0,0,0,0,0,59084,55383,54245,52751,50077,47978,61422,60375,61062,60241,59371,57391,60159,62702,58795,58618,57442,54724,61373,67584,64404,65968,62864,60183,26510,23080,22518,23460,22248,20383,26388,24477,21239,21482,20750,18732,26289,24689,25208,24357,24268,23661,25328,25686,24464,23940,23450,22494,24451,23943,24849,23973,20647,19926,29242,26604,27140,27832,29768,29108,31469,27746,25221,26909,30003,29132,29760,26727,25412,25566,28757,25088
GS8,1020,528,59297,62994,61019,62400,57936,58874,58580,57942,57455,57075,51509,50285,60515,63457,62900,59226,57398,58044,0,0,0,0,0,0,57057,53515,52544,51114,48564,46468,59516,58354,59179,58221,57413,55459,58397,60850,56879,56720,55540,52968,59429,65593,62246,63780,60927,58308,25344,22157,21570,22473,21299,19487,25236,23400,20319,20589,19860,17893,25162,23594,24082,23282,23262,22574,24234,24454,23438,22918,22441,21570,23316,22861,23798,22848,19724,19060,28175,25634,26204,26845,28765,28035,30345,26699,24387,25942,28998,28106,28717,25798,24483,24738,27751,24238
GS8,1020,529,56495,60162,58333,59580,55301,56084,56136,55404,54917,54393,49272,48171,57685,60593,59916,56411,54788,55246,0,0,0,0,0,0,54533,51110,50248,48916,46390,44469,56644,55690,56246,55415,54602,52733,55673,58023,54221,54153,52998,50425,56726,62331,59356,61049,58128,55479,24452,21288,20739,21681,20498,18778,24172,22488,19507,19731,19026,17164,24134,22793,23118,22393,22278,21732,23317,23635,22475,22046,21589,20775,22515,22042,22960,22029,19070,18337,27163,24696,25116,25765,27642,27000,29131,25729,23455,24947,27955,27023,27657,24773,23502,23758,26732,23260
GS8,1020,530,55129,58485,56734,58025,53920,54605,54452,53903,53490,53055,47827,47020,56208,58956,58367,54735,53059,53797,0,0,0,0,0,0,53305,50029,48994,47613,45310,43360,55342,54211,54826,53999,53155,51385,54326,56449,53027,52729,51754,49400,55355,60806,57997,59451,56642,54165,23720,20771,20208,21075,19918,18270,23574,21867,18998,19179,18557,16756,23499,22079,22504,21858,21682,21110,22751,22968,21918,21435,21000,20164,21865,21445,22278,21426,18507,17835,26216,23751,24352,24934,26660,26070,28241,24860,22621,24206,26974,26164,26768,24035,22840,23130,25965,22664
GS8,1020,531,52780,56106,54401,55625,51754,52445,52213,51736,51117,50937,45999,44963,53818,56460,55942,52476,50823,51529,0,0,0,0,0,0,51001,47789,46976,45763,43480,41585,53068,51958,52499,51778,50792,49159,52117,54314,50769,50594,49754,47312,53013,58172,55622,57059,54310,51873,22901,19945,19414,20330,19206,17591,22667,21028,18235,18448,17792,16066,22612,21242,21637,20952,20842,20278,21775,22037,21118,20630,20163,19371,20983,20561,21409,20560,17800,17105,25265,22961,23482,24134,25786,25225,27205,24043,21926,23380,26144,25310,25776,23151,22075,22273,25093,21936
GS8,1020,532,50780,54139,52569,53585,49749,50462,50516,50081,49537,49164,44356,43417,51904,54417,53865,50646,49048,49607,0,0,0,0,0,0,49287,46241,45416,44263,42067,40216,51041,50153,50527,49692,48930,47282,50196,52277,48935,48875,47894,45530,51219,56219,53502,54887,52377,50067,22029,19274,18771,19582,18579,16981,21895,20306,17664,17880,17197,15529,21808,20483,20923,20220,20141,19579,21035,21286,20413,19941,19539,18732,20259,19863,20755,19903,17127,16550,24357,22137,22696,23181,24771,24283,26269,23177,21107,22652,25220,24426,24883,22366,21321,21509,24179,21181
GS8,1020,533,48845,51932,50402,51439,47861,48519,48533,47967,47497,47195,42745,41811,49928,52262,51631,48550,47054,47452,0,0,0,0,0,0,47285,44385,43676,42554,40390,38733,48980,47917,48448,47626,46664,45112,48229,50170,46972,46843,46079,43608,49039,53950,51327,52517,50200,47946,21210,18566,18070,18839,17897,16348,21018,19577,17032,17171,16558,14935,20966,19679,20062,19442,19384,18813,20285,20494,19568,19119,18785,18056,19469,19098,19885,19141,16460,15919,23497,21407,21799,22370,23928,23381,25291,22331,20387,21826,24386,23629,24028,21661,20689,20842,23412,20506
GS8,1020,534,46888,49901,48478,49411,45875,46597,46563,46150,45716,45476,40986,40152,47776,50210,49550,46511,44958,45606,0,0,0,0,0,0,45358,42674,41928,40815,38792,37214,47123,46130,46600,45694,44844,43397,46313,48262,45327,45106,44258,41994,47040,51723,49361,50524,48208,46225,20339,17724,17328,18136,17078,15734,20156,18677,16292,16434,15886,14276,20126,18939,19273,18622,18656,18091,19457,19660,18767,18425,18021,17350,18791,18372,19055,18372,15882,15218,22563,20528,20915,21490,22990,22455,24301,21408,19641,20994,23480,22760,23176,20767,19847,19993,22506,19716
GS8,1020,535,45476,48415,46884,47757,44583,45153,45220,44739,44369,44153,39796,38899,46440,48687,48042,45054,43724,44027,0,0,0,0,0,0,44007,41503,40776,39748,37725,36137,45662,44672,45167,44364,43405,41884,44995,46768,43909,43760,42962,40910,45733,50159,47744,48937,46680,44739,19786,17204,16792,17582,16623,15261,19533,18094,15799,15924,15431,13877,19489,18303,18659,18006,18025,17573,18852,19074,18174,17815,17481,16799,18147,17796,18485,17819,15343,14757,21841,19915,20231,20828,22325,21745,23511,20820,18967,20407,22774,22108,22407,20112,19245,19456,21880,19123
GS8,1020,536,44309,47018,45604,46628,43343,43842,43884,43408,42993,42923,38617,37808,44974,47161,46564,43662,42277,42614,0,0,0,0,0,0,42681,40143,39458,38403,36609,35053,44164,43348,43684,42923,41967,40499,43625,45456,42576,42430,41670,39633,44374,48722,46333,47447,45337,43453,19247,16802,16360,17078,16196,14874,19001,17676,15373,15519,14998,13507,18956,17784,18173,17497,17509,17080,18357,18487,17719,17322,16919,16279,17613,17289,17940,17225,14906,14380,21250,19309,19737,20330,21674,21196,22922,20293,18502,19837,22247,21565,21821,19595,18721,18983,21374,18748
GS8,1020,537,42301,45143,43742,44577,41588,42094,42249,41900,41443,41235,37226,36404,43256,45272,44722,42150,40636,41080,0,0,0,0,0,0,41166,38693,38108,37182,35375,33846,42637,41555,41996,41163,40419,38955,41956,43714,41002,40908,40124,38163,42443,46768,44511,45647,43628,41689,18392,16115,15714,16425,15592,14264,18166,16926,14713,14910,14394,12997,18211,17095,17424,16782,16780,16244,17557,17788,17017,16642,16278,15631,16925,16623,17268,16633,14309,13835,20445,18509,18928,19456,20731,20296,22030,19443,17848,19050,21275,20662,20829,18797,17962,18255,20493,17902
GS8,1020,538,40810,43652,42400,43200,40183,40736,40830,40388,40151,39838,36048,35270,41874,43717,43248,40612,39200,39536,0,0,0,0,0,0,39815,37425,36762,35895,34215,32838,41126,40273,40443,39741,38918,37506,40590,42231,39721,39575,38750,36946,41036,45193,43031,44218,42071,40268,17789,15541,15227,15949,15072,13809,17602,16360,14241,14398,13904,12521,17598,16564,16851,16344,16264,15831,17042,17191,16504,16108,15788,15120,16434,16053,16728,16117,13875,13361,19767,17893,18372,18783,20091,19621,21285,18828,17240,18498,20638,20028,20176,18200,17455,17677,19901,17386
GS8,1020,539,39509,42123,40725,41768,38798,39390,39391,39043,38845,38532,34863,33996,40451,42265,41824,39369,37917,38263,0,0,0,0,0,0,38524,36121,35605,34790,33177,31789,39838,38795,39217,38369,37627,36149,39274,40887,38505,38292,37470,35695,39640,43761,41569,42632,40686,38857,17144,15005,14637,15339,14543,13344,16963,15745,13714,13849,13389,12094,16956,15914,16249,15692,15686,15209,16399,16589,15810,15472,15163,14651,15729,15443,16109,15461,13335,12856,19017,17303,17638,18125,19446,18911,20571,18213,16674,17807,19943,19341,19586,17650,16826,17056,19283,16843
GS8,1020,540,38609,41167,39900,40792,38020,38322,38559,38209,37907,37801,34108,33415,39411,41403,40807,38335,36972,37348,0,0,0,0,0,0,37588,35325,34884,33977,32397,31075,38947,37880,38237,37434,36622,35328,38371,40007,37522,37440,36618,34952,38737,42631,40580,41642,39822,38000,16735,14599,14246,14902,14119,12993,16561,15353,13357,13542,13054,11801,16537,15534,15833,15308,15237,14899,15931,16162,15474,15144,14759,14240,15344,15076,15696,15068,13028,12516,18539,16791,17265,17700,18890,18509,20025,17738,16216,17416,19410,18800,19013,17117,16416,16561,18728,16388
GS8,1020,541,37484,39950,38747,39595,36902,37321,37382,37146,36856,36648,33100,32345,38330,40136,39513,37238,35927,36238,0,0,0,0,0,0,36513,34345,33897,33049,31527,30228,37834,37047,37283,36499,35565,34248,37290,38903,36527,36434,35674,34072,37725,41475,39542,40607,38806,37096,16366,14349,13935,14616,13846,12681,16166,15000,13069,13250,12791,11510,16157,15219,15518,14984,14942,14496,15650,15773,15050,14800,14510,13974,15030,14738,15357,14713,12730,12265,18281,16534,16984,17387,18559,18115,19709,17414,15962,17145,19119,18536,18744,16900,16150,16328,18477,16186
GS8,1020,542,36339,38748,37595,38343,35708,36141,36192,35937,35638,35609,32113,31340,37142,38850,38382,36063,34736,35039,0,0,0,0,0,0,35338,33258,32773,31969,30462,29339,36601,35620,35995,35245,34331,33129,36121,37700,35369,35282,34599,32960,36431,39984,38159,39228,37401,35846,15807,13817,13481,14131,13305,12236,15616,14464,12579,12724,12296,11063,15518,14684,14917,14429,14360,14022,15060,15204,14541,14248,13968,13429,14521,14220,14791,14271,12287,11825,17583,15953,16252,16701,17862,17435,18961,16819,15392,16417,18393,17864,17988,16217,15566,15770,17763,15595
GS8,1020,543,35419,37664,36569,37332,34750,35217,35181,34914,34728,34548,31136,30485,36008,37816,37323,35029,33823,34121,0,0,0,0,0,0,34302,32324,31827,31214,29607,28424,35603,34733,35010,34176,33468,32170,35067,36607,34340,34216,33585,32056,35448,38932,37067,38007,36343,34710,15428,13479,13198,13724,13014,11980,15247,14188,12294,12433,11951,10824,15154,14244,14588,14116,14041,13612,14660,14860,14182,13920,13653,13061,14142,13856,14393,13896,11987,11475,17120,15533,15903,16278,17446,17042,18537,16345,14996,16036,17943,17469,17579,15803,15087,15359,17319,15203
GS8,1020,544,34153,36370,35234,36028,33440,33845,33964,33638,33439,33275,30162,29454,34849,36434,35956,33824,32572,32878,0,0,0,0,0,0,33125,31201,30680,30006,28518,27369,34221,33418,33660,32809,32246,30930,33876,35227,33142,32991,32369,30914,34131,37521,35741,36674,34984,33567,14868,12996,12694,13263,12573,11509,14720,13611,11866,11971,11583,10442,14638,13770,14009,13586,13582,13178,14157,14324,13716,13442,13117,12678,13606,13380,13893,13369,11565,11108,16554,15051,15403,15732,16886,16514,17887,15854,14485,15522,17282,16888,17044,15272,14610,14911,16794,14634
GS8,1020,545,33204,35276,34378,35024,32517,32991,33034,32831,32555,32364,29290,28716,33871,35439,34988,32866,31725,31916,0,0,0,0,0,0,32249,30366,29875,29165,27821,26726,33275,32408,32724,31996,31357,30070,32897,34376,32187,32031,31545,30005,33155,36558,34758,35627,34038,32584,14465,12656,12307,12900,12281,11210,14275,13299,11550,11645,11241,10122,14242,13427,13680,13241,13155,12781,13778,13928,13393,13063,12787,12320,13223,12991,13522,13006,11251,10809,16035,14568,14949,15318,16346,15959,17345,15340,14080,15038,16791,16339,16497,14854,14219,14420,16244,14206
GS8,1020,546,32177,34260,33235,33902,31491,31959,31973,31793,31481,31386,28366,27749,32722,34260,33846,31780,30792,30856,0,0,0,0,0,0,31145,29303,28883,28251,26880,25783,32359,31484,31766,30977,30426,29115,31854,33160,31048,31094,30506,29102,32074,35372,33623,34443,32944,31650,13929,12217,11924,12461,11802,10793,13760,12839,11156,11239,10846,9802,13752,12991,13186,12760,12776,12396,13357,13443,12860,12613,12390,11909,12806,12576,13045,12545,10849,10448,15594,14185,14497,14893,15922,15533,16837,14963,13672,14631,16371,15916,15990,14380,13782,13980,15732,13794
GS8,1020,547,30919,32995,32046,32658,30337,30853,30829,30530,30376,30207,27283,26754,31567,33049,32564,30675,29613,29860,0,0,0,0,0,0,30012,28195,27848,27212,25806,24826,31013,30310,30645,29847,29387,28131,30743,32030,29995,30033,29435,28054,30957,34080,32383,33265,31754,30435,13464,11764,11518,12052,11415,10437,13288,12392,10769,10859,10491,9495,13267,12522,12753,12329,12335,11994,12858,12984,12431,12148,11950,11465,12347,12149,12628,12134,10462,10090,14955,13612,13908,14245,15302,14912,16227,14320,13111,14021,15631,15303,15391,13833,13293,13458,15091,13265
GS8,1020,548,29955,31801,30973,31570,29301,29626,29803,29466,29284,29118,26394,25800,30477,31975,31557,29609,28575,28835,0,0,0,0,0,0,28931,27249,26804,26185,24919,24021,30017,29319,29603,28956,28352,27199,29701,30926,29052,28918,28398,27071,29860,32906,31353,32180,30673,29379,12945,11379,11095,11571,11000,10090,12857,11902,10351,10484,10139,9144,12785,12020,12262,11926,11881,11518,12354,12538,11988,11748,11465,11051,11926,11711,12158,11680,10078,9693,14517,13165,13471,13837,14743,14427,15706,13844,12637,13576,15159,14710,14818,13347,12737,12953,14547,12753
GS8,1020,549,29135,31003,30035,30621,28481,28878,28878,28588,28421,28323,25567,25045,29612,31004,30684,28772,27730,27991,0,0,0,0,0,0,28108,26378,26013,25489,24197,23247,29232,28499,28687,28155,27526,26450,28761,30013,28161,28043,27543,26311,29072,31985,30364,31176,29816,28493,12486,10944,10694,11192,10587,9696,12360,11517,9989,10133,9794,8800,12374,11669,11873,11472,11416,11103,11965,12075,11572,11329,11061,10671,11498,11267,11717,11309,9744,9350,14145,12781,13122,13420,14347,14017,15227,13492,12270,13201,14726,14307,14438,12995,12419,12543,14161,12417
GS8,1020,550,28351,30130,29209,29730,27672,28004,28120,27848,27663,27553,24871,24386,28902,30288,29809,28031,27007,27254,0,0,0,0,0,0,27401,25616,25295,24663,23404,22499,28442,27769,27986,27439,26758,25863,28003,29188,27344,27355,26820,25531,28331,31091,29577,30363,28990,27797,12167,10670,10405,10878,10234,9417,12034,11199,9691,9780,9457,8547,11983,11268,11482,11077,11095,10798,11581,11709,11236,10961,10735,10382,11141,10962,11409,10950,9420,9119,13572,12305,12583,12889,13820,13470,14643,12997,11834,12668,14195,13768,13907,12477,11916,12084,13587,11946
GS8,1020,551,27238,29012,28082,28649,26657,27008,26958,26799,26574,26490,23759,23398,27744,28980,28643,26920,26031,26216,0,0,0,0,0,0,26291,24706,24325,23755,22587,21640,27263,26728,26827,26390,25811,24853,26870,28107,26303,26305,25806,24645,27199,29867,28489,29099,27846,26602,11699,10203,9928,10434,9881,9061,11587,10711,9305,9419,9107,8221,11581,10910,11101,10748,10743,10403,11176,11291,10811,10569,10341,9920,10770,10545,10968,10525,9075,8715,13028,11886,12160,12453,13280,12965,14096,12469,11357,12130,13659,13274,13349,12043,11440,11638,13126,11517
GS8,1020,552,26203,27926,27002,27509,25628,25921,25996,25703,25553,25442,22930,22453,26660,27912,27630,25876,25083,25297,0,0,0,0,0,0,25304,23707,23335,22736,21698,20775,26313,25614,25871,25327,24866,23952,25764,26970,25317,25204,24828,23629,26172,28759,27371,28124,26837,25598,11352,9878,9683,10125,9551,8773,11237,10442,9049,9161,8842,7968,11229,10526,10730,10388,10360,10066,10821,10956,10470,10235,10039,9633,10407,10211,10620,10197,8815,8480,12692,11536,11752,12036,12871,12618,13648,12083,11021,11812,13201,12833,12950,11576,11127,11258,12687,11073
GS8,1020,553,25290,26893,26120,26628,24815,25060,25056,24874,24640,24592,22075,21685,25674,26934,26628,25036,24136,24381,0,0,0,0,0,0,24371,22940,22597,21893,20891,19998,25315,24708,24966,24493,24036,23141,24920,25973,24460,24362,23873,22777,25315,27733,26400,27127,25842,24728,10928,9563,9344,9726,9221,8457,10799,10039,8695,8810,8511,7676,10775,10151,10340,10027,9989,9721,10429,10529,10104,9910,9657,9287,10038,9859,10230,9799,8486,8193,12273,11189,11395,11724,12552,12193,13260,11701,10688,11445,12766,12373,12583,11280,10788,10902,12254,10746
GS8,1020,554,25012,26583,25721,26223,24310,24767,24745,24560,24262,24174,21810,21420,25370,26587,26348,24681,23844,24052,0,0,0,0,0,0,23890,22489,22169,21566,20491,19684,24979,24427,24607,24189,23672,22859,24603,25666,24064,24012,23632,22438,24936,27427,26094,26778,25541,24481,10775,9410,9168,9582,9097,8323,10685,9933,8615,8703,8374,7599,10662,10002,10202,9867,9839,9586,10354,10384,9960,9732,9546,9141,9870,9734,10080,9743,8386,8045,12086,10940,11230,11480,12289,12001,12974,11506,10479,11255,12581,12141,12337,11073,10622,10706,12072,10550
GS8,1020,555,24434,25911,25113,25653,23850,24158,24197,23970,23777,23652,21357,20921,24765,26056,25718,24211,23358,23628,0,0,0,0,0,0,23418,22052,21698,21163,20115,19285,24414,23892,24082,23656,23252,22400,24011,25082,23542,23422,22998,21935,24304,26775,25490,26118,24919,23856,10462,9140,8951,9305,8830,8076,10406,9617,8320,8445,8166,7324,10312,9725,9924,9557,9544,9272,9940,10147,9616,9399,9219,8870,9613,9441,9796,9409,8139,7853,11695,10562,10806,11101,11837,11552,12564,11074,10111,10861,12086,11748,11895,10670,10225,10257,11624,10190
GS8,1020,556,23516,25108,24314,24789,23001,23355,23370,23150,22923,22791,20628,20185,23956,25129,24878,23407,22663,22827,0,0,0,0,0,0,22674,21310,20903,20377,19425,18635,23594,23088,23326,22911,22426,21660,23196,24223,22712,22689,22264,21160,23519,25827,24597,25283,24070,23090,10213,8905,8650,9029,8608,7865,10083,9374,8135,8219,7902,7142,10063,9415,9661,9319,9308,9018,9742,9874,9420,9183,8983,8657,9362,9199,9545,9187,7936,7638,11308,10271,10470,10776,11540,11280,12160,10790,9865,10544,11779,11422,11570,10447,9942,10046,11281,9860
GS8,1020,557,22927,24299,23653,24045,22313,22753,22685,22440,22297,22190,19967,19564,23289,24520,24152,22706,21988,22190,0,0,0,0,0,0,22043,20736,20324,19863,18868,18061,22938,22428,22610,22292,21850,21052,22668,23523,22125,22096,21609,20629,22876,25190,23917,24557,23490,22349,9883,8604,8413,8806,8355,7612,9793,9116,7889,8001,7723,6942,9818,9191,9349,9041,9058,8810,9464,9566,9116,8902,8743,8393,9098,8904,9283,8881,7698,7411,10961,9949,10186,10481,11187,10939,11873,10423,9561,10262,11435,11043,11251,10097,9630,9716,10940,9517
GS8,1020,558,22283,23640,22957,23432,21763,22032,22058,21849,21703,21525,19443,19026,22667,23776,23532,22110,21402,21642,0,0,0,0,0,0,21531,20117,19843,19254,18289,17545,22310,21826,22112,21698,21310,20556,21961,22899,21474,21454,20975,20010,22246,24555,23272,23926,22868,21812,9518,8286,8073,8420,8000,7339,9396,8763,7550,7681,7392,6697,9395,8817,8988,8657,8665,8437,9058,9162,8766,8565,8395,8069,8752,8605,8887,8544,7409,7100,10590,9611,9842,10056,10790,10551,11386,10064,9219,9817,10986,10622,10821,9700,9310,9385,10554,9219
GS8,1020,559,21324,22603,21986,22388,20814,21133,21090,20941,20797,20679,18664,18216,21744,22776,22458,21132,20516,20698,0,0,0,0,0,0,20636,19371,19020,18492,17570,16821,21388,20950,21151,20751,20442,19706,20993,21899,20539,20493,20155,19139,21291,23480,22311,22910,21868,20923,9163,8007,7815,8180,7739,7105,9137,8487,7390,7432,7187,6478,9081,8567,8725,8430,8378,8181,8779,8895,8492,8334,8112,7851,8482,8314,8635,8254,7220,6869,10235,9337,9532,9785,10457,10211,11016,9724,8908,9561,10635,10295,10495,9434,8984,9111,10222,8900
GS8,1020,560,20586,21932,21263,21669,20111,20459,20475,20180,20046,19946,18021,17680,21022,22007,21768,20515,19837,20038,0,0,0,0,0,0,19949,18750,18343,17903,16952,16287,20707,20270,20453,20144,19721,19154,20343,21171,19813,19829,19457,18500,20605,22691,21587,22181,21164,20281,8782,7672,7472,7789,7395,6742,8719,8124,7008,7105,6873,6148,8687,8210,8287,8090,8044,7827,8387,8479,8114,7942,7787,7495,8072,7914,8199,7926,6864,6571,9808,8875,9118,9367,9987,9731,10567,9340,8501,9070,10173,9836,9985,9030,8573,8710,9754,8549
GS8,1020,561,19697,20923,20263,20601,19192,19500,19503,19287,19165,19061,17216,16831,20138,21106,20768,19546,18948,19124,0,0,0,0,0,0,19014,17843,17577,16998,16235,15550,19752,19325,19564,19260,18889,18236,19467,20271,19005,18913,18531,17658,19653,21691,20679,21190,20178,19330,8485,7426,7211,7543,7123,6569,8422,7825,6780,6876,6606,6001,8363,7936,8049,7761,7735,7526,8124,8175,7841,7668,7477,7234,7812,7654,7952,7636,6631,6351,9397,8543,8760,8976,9563,9358,10160,8957,8190,8717,9720,9410,9643,8633,8290,8365,9340,8181
GS8,1020,562,19020,20246,19610,19963,18599,18884,18945,18726,18528,18430,16611,16287,19391,20319,20128,18927,18335,18489,0,0,0,0,0,0,18417,17287,16961,16525,15694,15032,19120,18769,18923,18625,18303,17634,18883,19578,18288,18319,17895,17103,19143,21014,20006,20511,19597,18660,8193,7154,6956,7280,6892,6320,8151,7575,6568,6635,6422,5751,8110,7659,7746,7531,7517,7312,7846,7922,7590,7412,7243,6976,7561,7410,7679,7421,6391,6155,9110,8261,8463,8660,9259,9077,9826,8656,7925,8496,9392,9119,9246,8382,8000,8066,9053,7927
GS8,1020,563,18114,19326,18679,18989,17700,17984,18059,17844,17711,17566,15878,15539,18557,19422,19241,18084,17433,17719,0,0,0,0,0,0,17634,16542,16180,15712,14976,14393,18223,17908,18120,17758,17538,16864,17992,18712,17536,17500,17234,16292,18206,20066,19078,19589,18714,17896,7786,6811,6645,6937,6528,6015,7784,7204,6226,6318,6120,5521,7770,7272,7360,7167,7140,6938,7468,7534,7202,7044,6904,6634,7194,7054,7340,7041,6090,5850,8661,7877,8039,8244,8863,8667,9336,8217,7548,8063,8990,8727,8895,7958,7616,7697,8679,7573
GS8,1020,564,17499,18586,18011,18355,17049,17300,17417,17218,17097,16951,15281,14946,17853,18707,18500,17431,16829,17083,0,0,0,0,0,0,16960,15899,15654,15164,14468,13853,17620,17267,17388,17070,16818,16224,17366,17976,16898,16868,16569,15731,17593,19355,18442,18964,18080,17294,7586,6610,6424,6706,6316,5806,7465,6925,6059,6114,5910,5320,7462,7000,7143,6925,6894,6701,7231,7297,6934,6797,6666,6449,6948,6813,7088,6834,5897,5705,8439,7646,7785,8005,8597,8367,9068,8009,7310,7852,8713,8470,8622,7798,7395,7504,8401,7328
