,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS32,1020,458,14411,13077,12929,13758,13057,13357,14298,13839,14728,14855,13695,14589,10457,13564,13782,11946,12783,10507,0,0,0,0,0,0,14999,15525,16278,14773,15091,17211,13217,12236,11079,10672,9265,8096,13168,14202,13846,13109,13868,13294,11697,11343,11056,12462,11496,11382,5562,5893,5830,6205,6239,6297,5246,5633,5132,5614,5605,5623,5557,5631,5562,5700,6418,6101,5510,5842,5651,5401,5985,6175,5493,5377,5298,5382,5588,5715,6799,7035,7902,7151,7355,7301,7321,7483,8440,8510,8829,8838,7542,7778,8597,8531,9087,9139
GS32,1020,459,16847,15293,15102,16090,15282,15651,16785,16176,17275,17461,16034,16997,12238,15828,16139,13952,14920,12310,0,0,0,0,0,0,17499,18068,18986,17243,17585,20089,15401,14288,12885,12371,10772,9435,15369,16589,16171,15309,16146,15565,13640,13209,12798,14533,13382,13254,6584,6993,6899,7351,7370,7429,6233,6672,6032,6638,6601,6639,6544,6636,6563,6718,7553,7198,6465,6892,6627,6348,7032,7225,6406,6306,6202,6334,6557,6724,7916,8158,9151,8312,8551,8457,8536,8660,9765,9881,10221,10228,8806,9043,10014,9992,10578,10654
GS32,1020,460,19563,17735,17528,18672,17738,18169,19436,18820,20067,20225,18685,19799,14207,18382,18701,16199,17291,14259,0,0,0,0,0,0,20347,21089,22130,19957,20427,23340,17882,16607,15005,14406,12489,10923,17831,19255,18701,17685,18784,17948,15782,15324,14747,16795,15544,15307,7677,8175,8051,8549,8545,8628,7227,7786,7053,7723,7693,7703,7668,7712,7662,7800,8799,8361,7511,8034,7717,7426,8157,8437,7457,7329,7228,7400,7648,7787,9149,9431,10610,9600,9875,9723,9815,9975,11303,11405,11768,11803,10156,10457,11551,11537,12235,12354
GS32,1020,461,22307,20327,20059,21384,20331,20653,22235,21593,22977,23218,21363,22725,16251,21115,21499,18497,19910,16332,0,0,0,0,0,0,23246,24101,25345,22860,23364,26790,20463,19008,17151,16501,14278,12556,20371,21973,21376,20347,21395,20552,18046,17510,16960,19273,17746,17510,8809,9323,9246,9792,9801,9863,8271,8870,8100,8861,8773,8841,8685,8797,8683,8902,10055,9531,8569,9135,8827,8445,9271,9612,8512,8346,8231,8381,8721,8889,10392,10711,12078,10883,11246,11086,11142,11363,12835,12973,13384,13391,11614,11963,13202,13176,13945,14034
GS32,1020,462,25906,23596,23310,24814,23547,23945,25811,25017,26633,26918,24773,26391,18856,24315,24833,21393,22959,18937,0,0,0,0,0,0,26945,27925,29289,26391,27109,31037,23685,21871,19794,19096,16573,14517,23541,25281,24756,23434,24748,23764,20836,20153,19470,22218,20482,20193,10103,10704,10593,11228,11230,11295,9480,10185,9251,10132,10065,10055,9981,10035,9958,10212,11477,10892,9826,10500,10132,9713,10687,11007,9743,9562,9498,9619,9964,10165,11969,12336,13939,12575,12935,12753,12840,13077,14789,14901,15395,15401,13378,13780,15264,15258,16077,16207
GS32,1020,463,29112,26639,26234,27925,26438,26992,29172,28134,29989,30363,27940,29720,21230,27444,27890,24075,25916,21251,0,0,0,0,0,0,30294,31437,32922,29851,30498,34954,26700,24689,22264,21356,18637,16311,26391,28525,27822,26274,27777,26765,23430,22717,21849,24865,23001,22682,11604,12245,12127,12853,12873,12865,10900,11666,10588,11637,11528,11565,11417,11532,11462,11706,13148,12480,11205,11974,11472,11033,12189,12533,11140,10903,10802,10924,11375,11581,13368,13825,15586,14072,14478,14287,14350,14650,16494,16753,17253,17250,15018,15432,17114,17139,18143,18294
GS32,1020,464,32343,29471,28992,30898,29464,29971,32320,31316,33261,33649,31046,33061,23499,30482,31023,26815,28826,23686,0,0,0,0,0,0,33686,34981,36481,33230,34000,38750,29610,27404,24866,23845,20752,18193,29380,31560,30831,29235,30887,29750,25943,25155,24305,27723,25480,25164,12826,13620,13437,14244,14286,14326,12057,12956,11743,12881,12763,12760,12623,12752,12661,12959,14520,13805,12397,13251,12747,12207,13477,13894,12335,12100,11874,12130,12546,12847,14788,15208,17208,15541,16024,15756,15923,16161,18269,18452,19021,19055,16575,17108,18977,19010,20017,20253
GS32,1020,465,36247,32956,32448,34682,32857,33446,36023,34950,37216,37748,34642,36915,26219,34041,34622,29871,32151,26432,0,0,0,0,0,0,37555,39026,40799,36990,37869,43383,32943,30612,27662,26611,23151,20302,32757,35303,34528,32764,34502,33203,28908,28166,27169,30861,28391,28070,14279,15065,14867,15766,15728,15840,13311,14299,12979,14220,14114,14074,13992,14094,13978,14301,16088,15252,13698,14648,14068,13475,14885,15304,13603,13374,13213,13326,13871,14169,16454,16920,19109,17310,17817,17502,17685,17985,20318,20505,21147,21151,18431,19042,21117,21097,22310,22595
GS32,1020,466,39266,35684,35279,37546,35601,36213,39265,38068,40447,40979,37722,40200,28511,36965,37665,32458,34981,28718,0,0,0,0,0,0,40880,42343,44247,40187,41227,47150,35791,33157,30100,28927,25134,22030,35623,38249,37431,35482,37460,35987,31475,30360,29385,33349,30867,30397,15703,16656,16375,17432,17354,17451,14687,15808,14404,15702,15613,15589,15395,15596,15465,15832,17735,16830,15115,16121,15513,14859,16432,16855,15059,14700,14474,14732,15252,15616,17756,18270,20672,18739,19225,18892,19089,19465,21904,22087,22841,22829,19974,20662,22943,22912,24310,24498
GS32,1020,467,41956,38289,37762,40261,38224,38874,42106,40795,43339,43974,40518,43139,30540,39559,40360,34864,37463,30783,0,0,0,0,0,0,43786,45469,47510,43119,44214,50705,38334,35513,32236,31068,27072,23656,38134,41182,40220,38026,40095,38701,33567,32638,31484,35747,32956,32681,16805,17845,17611,18704,18622,18687,15744,16991,15413,16865,16711,16661,16561,16724,16561,16931,19034,17960,16201,17291,16692,15931,17513,18035,16048,15789,15545,15760,16330,16691,18934,19497,22084,19909,20481,20143,20285,20724,23336,23572,24314,24308,21272,22188,24512,24514,25981,26248
GS32,1020,468,44925,41043,40344,42989,40829,41594,44875,43561,46518,47038,43353,46093,32611,42389,43083,37193,40072,32965,0,0,0,0,0,0,46674,48491,50843,46256,47219,54039,40912,38028,34459,33181,28898,25352,40761,43817,42832,40556,42829,41295,35770,34814,33571,38145,35140,34711,17988,19100,18755,19905,19828,19876,16857,18091,16391,17998,17852,17802,17700,17854,17742,18116,20283,19210,17292,18382,17729,17016,18638,19233,17142,16789,16594,16759,17446,17738,20127,20638,23352,21067,21737,21382,21493,22011,24799,24991,25766,25816,22670,23561,26147,26176,27772,27939
GS32,1020,469,47917,43514,42935,45742,43326,44087,47765,46319,49422,50112,46170,49063,34803,45040,45833,39637,42588,35083,0,0,0,0,0,0,49556,51512,54061,49130,50346,57577,43586,40377,36610,35314,30715,26952,43271,46549,45496,43175,45667,44001,38172,37026,35693,40604,37346,36889,19053,20222,19921,21142,21156,21090,17919,19233,17473,19126,18951,18938,18795,18967,18786,19237,21557,20410,18371,19605,18857,17997,19857,20446,18288,17847,17601,17774,18550,18888,21246,21907,24774,22357,23009,22582,22879,23315,26302,26486,27358,27319,24116,24981,27825,27824,29450,29744
GS32,1020,470,49938,45435,44829,47813,45340,46024,49964,48590,51706,52284,48309,51291,36212,47030,47980,41391,44555,36620,0,0,0,0,0,0,51898,53823,56491,51336,52609,60183,45448,42241,38353,36978,32145,28215,45117,48753,47661,45129,47670,46002,39773,38653,37300,42281,38978,38488,19991,21123,20898,22156,22111,22123,18725,20163,18315,20009,19845,19822,19627,19788,19715,20103,22610,21400,19250,20521,19756,18903,20820,21462,19099,18699,18459,18636,19462,19735,22174,22706,25730,23213,23847,23509,23677,24150,27234,27506,28392,28369,25103,26014,29020,28981,30707,31013
GS32,1020,471,51042,46334,45847,48848,46239,47181,51120,49713,52987,53590,49295,52581,37021,48168,49105,42340,45600,37469,0,0,0,0,0,0,53057,55188,57893,52615,53828,61682,46580,43306,39243,37811,32891,28927,46224,49790,48687,46111,48914,47056,40704,39485,38133,43324,39935,39343,20442,21653,21335,22710,22645,22613,19251,20652,18764,20518,20382,20273,20140,20345,20239,20649,23157,21968,19648,21076,20210,19419,21334,21942,19576,19182,18862,19082,19881,20260,22455,23170,26231,23653,24357,23954,24188,24662,27809,28017,28908,28931,25533,26511,29625,29692,31552,31776
GS32,1020,472,52697,47880,47299,50362,47872,48501,52629,51199,54628,55309,50994,54314,38280,49595,50598,43743,47070,38783,0,0,0,0,0,0,54785,56875,59632,54361,55484,63566,47988,44618,40387,39040,34035,29884,47737,51360,50185,47618,50350,48486,41915,40645,39319,44697,41095,40560,20877,22190,21825,23124,23058,23065,19725,21049,19140,20900,20755,20751,20578,20743,20598,21108,23527,22478,20111,21503,20671,19777,21823,22406,20001,19661,19321,19568,20297,20686,23002,23694,26715,24212,24944,24421,24769,25325,28523,28759,29679,29696,26357,27403,30522,30605,32475,32747
GS32,1020,473,53339,48704,48067,51099,48439,49208,53330,51944,55450,55897,51687,55134,38835,50329,51425,44434,47793,39377,0,0,0,0,0,0,55552,57677,60506,54944,56376,64664,48747,45462,41186,39582,34566,30370,48371,51997,50838,48292,51090,49255,42575,41300,39858,45285,41647,41067,21348,22671,22365,23678,23565,23548,20103,21544,19563,21416,21229,21271,21070,21260,21086,21560,24156,23016,20576,21941,21132,20264,22276,22854,20418,20126,19798,20014,20755,21240,23326,24067,27114,24505,25164,24755,25113,25583,28698,29029,30038,30043,26737,27714,30989,31111,32871,33223
GS32,1020,474,53545,48760,48111,51343,48542,49494,53669,52133,55669,56421,52022,55442,38985,50674,51560,44656,48056,39505,0,0,0,0,0,0,55950,57923,60877,55387,56705,64946,48859,45502,41260,39814,34690,30494,48621,52255,51222,48421,51373,49492,42826,41528,40062,45432,41859,41338,21428,22719,22384,23727,23601,23667,20167,21614,19665,21483,21420,21298,21077,21293,21173,21706,24283,23087,20668,22039,21264,20321,22394,22981,20519,20149,19843,20131,20839,21283,23356,24058,27059,24531,25231,24851,25068,25502,28802,29148,30030,30071,26722,27765,31002,31126,33093,33334
GS32,1020,475,54073,49188,48580,51795,49168,49873,54050,52598,56154,56857,52556,56008,39318,51035,52028,44955,48386,39888,0,0,0,0,0,0,56176,58417,61475,55937,57244,65541,49234,45983,41685,40211,34986,30858,49016,52725,51707,48883,51906,49938,43232,41887,40344,45856,42147,41733,21538,22695,22420,23801,23659,23736,20191,21717,19740,21605,21492,21424,21232,21438,21281,21761,24385,23176,20812,22207,21308,20467,22534,23117,20743,20261,20018,20187,20905,21459,23436,24203,27244,24626,25329,25019,25226,25775,28951,29296,30209,30235,26987,27980,31300,31343,33380,33727
GS32,1020,476,53057,48339,47869,50894,48355,49173,53245,51750,55201,56058,51853,55226,38726,50236,51219,44412,47682,39355,0,0,0,0,0,0,55470,57731,60484,54995,56393,64548,48686,45225,41125,39720,34581,30364,48313,51985,50799,48178,51019,49313,42570,41285,39793,45272,41569,41166,21242,22481,22162,23474,23408,23324,19996,21469,19537,21312,21217,21176,20954,21109,20992,21512,24150,22899,20555,21865,21036,20176,22179,22866,20431,20055,19745,19964,20757,21147,23103,23745,26764,24213,24948,24524,24706,25252,28543,28801,29781,29801,26435,27616,30841,30969,32896,33246
GS32,1020,477,52701,47984,47385,50438,47825,48721,52786,51271,54746,55442,51357,54669,38330,49840,50903,44036,47330,39037,0,0,0,0,0,0,55013,57124,60052,54570,56001,64157,48094,44859,40751,39298,34231,30122,47798,51567,50321,47805,50588,48889,42159,40881,39511,44806,41220,40710,20951,22203,21894,23146,23066,23061,19781,21234,19285,21066,21012,20971,20668,20877,20773,21254,23817,22638,20324,21652,20811,19964,21976,22634,20201,19819,19566,19739,20466,20891,22806,23463,26406,23846,24636,24256,24501,25010,28145,28378,29484,29485,26193,27386,30525,30704,32607,32987
GS32,1020,478,51683,46912,46355,49338,46787,47732,51613,50300,53673,54420,50341,53551,37509,48799,49828,43157,46420,38209,0,0,0,0,0,0,53889,55990,58896,53558,54840,62874,47208,43976,39911,38567,33638,29509,46731,50469,49215,46889,49500,47875,41360,40185,38715,44064,40406,39927,20559,21654,21378,22643,22544,22612,19372,20688,18846,20646,20586,20539,20276,20476,20351,20838,23369,22207,19889,21249,20440,19552,21486,22096,19821,19424,19128,19304,20042,20510,22279,22924,25844,23277,24071,23695,23963,24407,27547,27819,28650,28759,25666,26752,29838,29980,31858,32145
GS32,1020,479,50677,46090,45490,48526,46058,46944,50619,49304,52759,53409,49474,52633,36967,47954,48970,42365,45518,37601,0,0,0,0,0,0,52974,55005,57710,52602,53811,61795,46413,43131,39280,37920,33003,29118,45996,49545,48485,46088,48730,47130,40675,39454,38063,43215,39787,39191,20205,21275,20990,22256,22152,22151,19003,20414,18551,20298,20220,20199,19941,20105,20008,20514,22994,21840,19558,20866,20066,19228,21117,21742,19488,19092,18797,19047,19769,20166,21809,22510,25348,22916,23639,23210,23521,23997,26993,27332,28234,28209,25222,26283,29341,29510,31349,31684
GS32,1020,480,49329,44912,44151,47198,44812,45654,49345,48035,51246,51986,48057,51199,35855,46703,47559,41202,44330,36587,0,0,0,0,0,0,51571,53497,56296,51176,52386,60170,45105,41982,38193,36897,32180,28332,44693,48260,47140,44766,47334,45939,39626,38458,37011,42049,38734,38233,19573,20661,20374,21567,21496,21480,18435,19723,18015,19727,19647,19665,19317,19548,19366,19813,22271,21192,19000,20301,19530,18671,20536,21157,18858,18526,18281,18494,19209,19587,21240,21909,24630,22282,22982,22629,22841,23293,26201,26576,27441,27511,24558,25600,28567,28658,30451,30865
GS32,1020,481,48188,43976,43358,46204,43894,44613,48248,46854,50055,50885,47014,50164,35149,45673,46604,40419,43433,35819,0,0,0,0,0,0,50486,52459,55088,50078,51304,58878,44345,41130,37432,36212,31554,27766,43949,47307,46228,43955,46479,44901,38791,37681,36298,41162,37988,37353,19111,20196,19888,21129,21037,20992,18050,19431,17677,19302,19227,19185,18984,19142,18932,19430,21811,20743,18625,19805,19124,18278,20144,20691,18609,18203,17880,18164,18773,19205,20885,21438,24198,21850,22497,22144,22417,22905,25760,26113,26906,27017,24112,25139,27972,28149,29892,30280
GS32,1020,482,46967,42736,42212,44947,42757,43465,46849,45679,48625,49433,45693,48653,34203,44378,45302,39258,42413,34867,0,0,0,0,0,0,49155,51052,53550,48723,49866,57222,43096,40048,36430,35135,30645,27077,42736,46082,44999,42756,45308,43595,37749,36659,35432,40148,37037,36558,18643,19726,19394,20545,20477,20408,17544,18861,17245,18855,18770,18711,18461,18623,18540,18904,21239,20212,18178,19350,18650,17840,19554,20207,18087,17746,17486,17651,18388,18722,20313,20885,23504,21302,21860,21613,21818,22224,25005,25373,26192,26179,23437,24388,27215,27384,28960,29381
GS32,1020,483,45356,41265,40684,43338,41250,42060,45437,44021,47019,47790,44117,47040,33144,42863,43764,37935,40878,33787,0,0,0,0,0,0,47355,49199,51738,47057,48094,55207,41576,38667,35189,33985,29722,26122,41291,44448,43374,41341,43671,42153,36536,35488,34296,38888,35779,35308,17958,18959,18733,19748,19681,19707,16936,18249,16569,18135,18065,18086,17834,17941,17922,18220,20481,19526,17510,18669,17906,17191,18958,19500,17460,17130,16840,16990,17681,18059,19621,20230,22754,20589,21185,20860,21123,21533,24288,24529,25327,25452,22617,23593,26265,26470,28065,28399
GS32,1020,484,44630,40705,40125,42664,40651,41371,44566,43351,46215,46902,43499,46285,32597,42237,43006,37342,40247,33204,0,0,0,0,0,0,46679,48551,50826,46302,47428,54396,40927,38205,34665,33443,29244,25841,40759,43840,42825,40700,43074,41555,36014,34963,33869,38361,35294,34865,17751,18742,18443,19450,19431,19495,16752,17965,16345,17906,17861,17833,17583,17736,17656,18001,20241,19279,17325,18407,17720,16961,18720,19207,17250,16893,16634,16857,17474,17819,19411,19998,22495,20364,20971,20662,20876,21293,23962,24212,25003,25084,22366,23286,25900,26116,27697,27994
GS32,1020,485,43349,39566,38966,41551,39533,40266,43341,42096,44840,45466,41984,44898,31786,41077,41877,36410,39143,32246,0,0,0,0,0,0,45315,47134,49421,45032,46077,52972,39760,37086,33764,32614,28475,25118,39623,42584,41615,39630,41790,40401,35131,34120,32860,37313,34440,33990,17225,18205,17937,18979,18895,18893,16267,17460,15862,17412,17321,17338,17129,17288,17134,17503,19709,18661,16810,17867,17223,16477,18192,18686,16798,16400,16154,16385,17006,17315,18923,19451,21909,19853,20394,20076,20364,20740,23401,23641,24340,24473,21822,22650,25318,25317,26939,27273
GS32,1020,486,42980,39170,38677,41199,39123,39917,42941,41600,44416,45017,41612,44408,31461,40675,41446,36013,38811,32110,0,0,0,0,0,0,44945,46647,48830,44539,45556,52170,39516,36792,33373,32328,28148,24900,39246,42232,41215,39096,41363,40054,34743,33690,32617,36908,34097,33656,16883,17848,17530,18543,18525,18533,15948,17178,15627,17069,17009,17007,16822,16952,16801,17214,19292,18370,16507,17544,16922,16209,17802,18368,16513,16098,15863,16070,16697,17019,18784,19378,21756,19695,20259,19991,20162,20558,23203,23412,24206,24185,21632,22465,25010,25122,26620,26970
GS32,1020,487,42162,38431,38019,40501,38523,39234,42178,40877,43646,44218,40840,43498,30964,39954,40695,35294,38136,31518,0,0,0,0,0,0,44051,45698,47966,43657,44714,51238,38755,36124,32813,31716,27617,24513,38466,41333,40510,38438,40626,39276,34203,33294,32159,36403,33603,33228,16737,17696,17338,18384,18324,18390,15806,17026,15456,16893,16804,16834,16678,16885,16692,17063,19153,18210,16396,17394,16754,16052,17682,18190,16335,16032,15787,15951,16556,16855,18549,19016,21466,19428,19975,19679,19985,20295,22870,23070,23797,23875,21321,22159,24620,24704,26167,26560
GS32,1020,488,41310,37862,37422,39728,37812,38559,41330,40086,42647,43337,40012,42690,30473,39199,40055,34698,37463,30963,0,0,0,0,0,0,43118,44706,47063,42790,43757,50237,38040,35511,32260,31122,27248,24100,37826,40686,39775,37775,39836,38515,33655,32750,31592,35869,33037,32671,16427,17374,17036,17995,17961,18015,15539,16625,15084,16556,16443,16495,16324,16493,16361,16698,18706,17786,16013,17118,16465,15707,17324,17842,15997,15707,15471,15594,16259,16547,18306,18828,21224,19184,19732,19445,19715,20035,22546,22733,23413,23427,20999,21811,24205,24279,25681,26012
GS32,1020,489,41224,37695,37226,39616,37697,38516,41209,39919,42450,42987,39829,42499,30395,38985,39921,34605,37315,30931,0,0,0,0,0,0,42981,44578,46804,42557,43512,50065,37982,35433,32161,31157,27294,24078,37702,40596,39615,37686,39743,38458,33705,32735,31685,36032,33126,32723,16257,17149,16878,17880,17839,17847,15383,16524,15019,16424,16310,16355,16233,16396,16249,16589,18663,17696,15938,16983,16331,15644,17196,17722,15884,15552,15321,15523,16134,16371,18263,18769,21183,19198,19719,19435,19752,20024,22554,22702,23440,23431,20931,21735,24156,24201,25577,25870
GS32,1020,490,41187,37581,37165,39432,37618,38332,41075,39845,42255,42893,39523,42152,30313,38944,39682,34562,37238,30872,0,0,0,0,0,0,42724,44242,46363,42194,43248,49529,37723,35287,31998,31055,27242,24083,37590,40305,39483,37539,39470,38230,33585,32783,31748,35868,32994,32529,16315,17237,16885,17976,17893,17894,15477,16575,15110,16451,16379,16396,16317,16450,16311,16684,18747,17786,16033,16966,16370,15677,17292,17758,15980,15644,15380,15523,16194,16504,18299,18806,21187,19161,19736,19403,19726,20006,22454,22653,23345,23352,20875,21592,24033,24016,25469,25721
GS32,1020,491,40799,37380,36935,39274,37310,38019,40675,39460,41896,42529,39248,41739,30122,38597,39400,34363,36889,30639,0,0,0,0,0,0,42334,43640,45785,41698,42648,48881,37414,34910,31799,30787,27001,24039,37131,40015,39102,37104,39152,37843,33369,32588,31470,35731,32884,32351,16181,17008,16757,17745,17687,17696,15283,16421,14968,16283,16164,16172,16074,16255,16124,16488,18485,17579,15829,16759,16152,15493,17048,17576,15832,15468,15226,15365,15954,16295,18271,18712,21097,19063,19649,19381,19634,19911,22330,22456,23169,23231,20712,21470,23830,23771,25192,25396
