,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
PUMA WT,1020,459,4136,3808,4170,4042,3725,3629,4185,3762,3658,3259,3013,2863,4344,4368,4067,3843,3867,3713,4364,4379,4441,4476,4286,4481,5626,5930,6048,6155,6423,6417,5040,4470,4012,2821,1722,1301,4953,3963,2174,1233,955,811,4573,3594,2165,1076,935,724,3994,4116,3603,4416,4600,4618,4345,4646,4786,5327,5396,5421,3957,3298,3336,3511,2441,2267,4180,3978,3907,4090,4241,4009,4342,4576,4631,4715,4575,4116,4195,4056,3395,2651,1962,1335,4500,3812,2364,1402,949,807,4707,3395,2227,1151,931,931
PUMA WT,1020,460,4819,4419,4848,4683,4314,4221,4839,4334,4238,3731,3480,3274,5018,5062,4717,4493,4471,4259,5053,5089,5120,5179,4949,5179,6477,6923,7003,7149,7433,7410,5829,5168,4639,3267,2006,1519,5755,4600,2531,1426,1095,927,5272,4128,2499,1231,1083,820,4668,4814,4197,5106,5325,5328,5022,5386,5563,6201,6246,6263,4585,3815,3871,4054,2799,2560,4844,4602,4544,4736,4910,4652,5029,5326,5351,5487,5284,4773,4863,4701,3932,3058,2270,1546,5177,4400,2732,1612,1088,916,5451,3920,2570,1313,1061,1067
PUMA WT,1020,461,5555,5091,5602,5345,4953,4825,5554,4949,4858,4250,3972,3741,5739,5816,5420,5107,5125,4896,5785,5779,5876,5942,5729,5941,7411,7923,8017,8183,8477,8494,6695,5907,5321,3739,2274,1703,6571,5223,2872,1622,1248,1051,6035,4736,2836,1402,1220,932,5352,5516,4811,5843,6093,6095,5767,6151,6390,7086,7115,7100,5283,4350,4411,4619,3177,2900,5528,5263,5191,5450,5638,5360,5753,6097,6143,6238,6056,5455,5559,5373,4482,3511,2571,1757,5930,5039,3106,1830,1233,1049,6212,4476,2931,1495,1213,1208
PUMA WT,1020,462,6454,5915,6504,6273,5754,5616,6400,5746,5583,4902,4572,4304,6653,6729,6282,5928,5930,5644,6694,6718,6830,6875,6579,6866,8585,9095,9281,9472,9836,9851,7682,6810,6152,4342,2613,1985,7572,6041,3325,1855,1431,1203,6960,5459,3273,1596,1404,1075,6213,6454,5581,6793,7068,7035,6688,7119,7367,8213,8259,8262,6065,4993,5094,5316,3629,3311,6382,6100,6013,6327,6517,6189,6690,7029,7089,7237,6969,6326,6396,6212,5198,4050,2975,2015,6840,5790,3588,2100,1413,1191,7174,5174,3385,1711,1377,1381
PUMA WT,1020,463,7296,6683,7314,7025,6493,6349,7227,6463,6284,5505,5156,4806,7510,7570,7062,6677,6679,6369,7504,7574,7662,7702,7407,7780,9652,10280,10417,10653,11091,11046,8655,7670,6922,4881,2955,2232,8534,6801,3727,2094,1604,1356,7819,6147,3703,1817,1575,1213,7010,7232,6293,7654,7963,7922,7517,8051,8302,9254,9295,9251,6857,5641,5699,5939,4057,3668,7172,6849,6770,7097,7353,6940,7519,7942,7969,8150,7889,7108,7224,6973,5855,4563,3373,2256,7713,6541,4014,2356,1588,1347,8083,5804,3799,1917,1550,1559
PUMA WT,1020,464,8111,7392,8161,7845,7228,7019,8005,7200,7017,6109,5698,5348,8356,8441,7867,7418,7410,7083,8331,8408,8506,8599,8230,8648,10734,11458,11640,11790,12308,12288,9607,8553,7688,5414,3286,2465,9474,7579,4151,2301,1776,1484,8675,6812,4088,1991,1737,1330,7788,8057,6977,8514,8855,8778,8356,8925,9210,10275,10313,10296,7570,6238,6287,6620,4474,4058,7985,7635,7530,7905,8171,7691,8306,8810,8889,9061,8777,7888,8003,7761,6487,5080,3732,2510,8562,7268,4471,2620,1764,1478,8907,6422,4205,2120,1726,1718
PUMA WT,1020,465,9071,8297,9145,8805,8108,7914,8969,8013,7834,6798,6339,5954,9289,9396,8759,8329,8261,7942,9305,9372,9520,9582,9173,9620,11944,12740,12947,13161,13725,13752,10750,9559,8599,6023,3660,2733,10546,8421,4629,2571,1980,1657,9624,7605,4563,2242,1954,1475,8758,9013,7835,9558,9926,9808,9371,9983,10307,11542,11542,11495,8478,6960,7030,7353,4968,4508,8931,8504,8406,8841,9150,8639,9302,9828,9928,10114,9775,8769,8900,8650,7259,5658,4159,2789,9550,8079,4973,2924,1945,1633,9977,7190,4684,2380,1912,1912
PUMA WT,1020,466,9882,9065,9925,9610,8814,8640,9735,8694,8487,7388,6891,6435,10061,10247,9500,9035,8994,8565,10099,10149,10307,10451,9972,10432,12990,13858,14063,14333,14934,14886,11627,10345,9333,6567,3967,2964,11416,9144,5002,2790,2137,1798,10448,8264,4941,2410,2107,1605,9495,9863,8496,10358,10785,10676,10156,10851,11182,12504,12531,12438,9228,7578,7626,7984,5364,4857,9703,9234,9181,9600,9922,9400,10084,10643,10801,10998,10633,9548,9700,9390,7856,6074,4485,3015,10363,8744,5401,3169,2108,1760,10808,7784,5081,2564,2066,2082
PUMA WT,1020,467,10575,9698,10651,10259,9459,9257,10420,9345,9081,7927,7352,6905,10830,10985,10244,9680,9627,9218,10801,10874,11037,11152,10639,11174,13886,14832,15024,15411,15998,16027,12513,11101,9984,7030,4242,3185,12238,9786,5390,2981,2293,1922,11240,8839,5279,2599,2255,1701,10212,10522,9128,11096,11552,11452,10923,11663,12028,13403,13437,13280,9933,8145,8146,8545,5722,5205,10408,9943,9806,10295,10696,10107,10837,11408,11599,11762,11397,10237,10393,10111,8434,6557,4835,3242,11094,9408,5794,3399,2264,1898,11599,8329,5437,2767,2213,2211
PUMA WT,1020,468,11296,10409,11398,10918,10126,9858,11119,9933,9684,8440,7863,7389,11586,11716,10935,10293,10264,9821,11548,11636,11818,11906,11384,11963,14869,15857,16137,16388,17199,17181,13325,11846,10699,7534,4549,3407,13119,10431,5761,3190,2420,2039,11986,9427,5643,2748,2409,1826,10904,11254,9724,11865,12354,12180,11642,12427,12782,14274,14330,14207,10578,8647,8704,9108,6161,5536,11147,10595,10471,11019,11431,10793,11579,12265,12382,12563,12123,10947,11069,10805,9000,6974,5162,3449,11830,10051,6178,3627,2417,2014,12370,8884,5804,2933,2368,2367
PUMA WT,1020,469,12053,11048,12122,11628,10757,10471,11841,10568,10302,8996,8378,7817,12319,12458,11630,10964,10941,10506,12261,12383,12558,12682,12102,12698,15825,16817,17107,17468,18212,18207,14184,12585,11326,7990,4825,3620,13860,11103,6067,3395,2582,2172,12753,10041,6015,2920,2564,1931,11607,12000,10384,12650,13111,13023,12401,13251,13651,15255,15258,15141,11230,9232,9280,9665,6525,5829,11797,11330,11207,11780,12225,11504,12328,13011,13117,13405,12904,11622,11730,11410,9564,7481,5504,3669,12546,10662,6554,3848,2558,2147,13111,9436,6179,3103,2519,2489
PUMA WT,1020,470,12611,11534,12676,12191,11257,10991,12355,11032,10766,9403,8720,8155,12807,13036,12131,11406,11438,10924,12736,12902,13083,13244,12634,13254,16525,17569,17845,18226,19034,19052,14775,13134,11842,8343,5052,3764,14482,11573,6329,3524,2702,2279,13301,10467,6261,3064,2677,2031,12115,12495,10841,13126,13657,13573,12939,13798,14196,15876,15964,15799,11755,9638,9663,10106,6768,6116,12353,11800,11673,12293,12749,12086,12859,13577,13723,13937,13516,12140,12299,11972,10006,7791,5751,3846,13107,11103,6842,3990,2669,2260,13720,9819,6456,3245,2609,2607
PUMA WT,1020,471,12899,11825,12933,12496,11479,11206,12667,11255,11000,9557,8895,8317,13149,13326,12393,11703,11721,11204,13070,13183,13467,13535,12955,13565,16883,17949,18280,18651,19443,19486,15121,13462,12165,8526,5150,3871,14832,11860,6517,3613,2767,2338,13613,10691,6433,3113,2733,2066,12388,12781,11092,13480,14011,13935,13244,14150,14603,16267,16321,16149,12036,9863,9933,10374,6954,6249,12649,12117,11948,12618,13058,12449,13156,13879,14143,14323,13809,12427,12554,12225,10242,7972,5864,3925,13416,11289,6995,4109,2748,2283,14027,10088,6600,3328,2685,2686
PUMA WT,1020,472,13255,12130,13347,12793,11841,11537,13033,11650,11346,9890,9170,8566,13511,13717,12828,12059,12045,11551,13552,13680,13871,14030,13317,13982,17457,18582,18949,19341,20144,20102,15583,13912,12565,8831,5318,4011,15251,12200,6720,3729,2847,2404,14046,11063,6649,3248,2821,2148,12754,13139,11421,13886,14505,14319,13646,14576,15028,16776,16819,16618,12432,10149,10234,10664,7154,6440,13082,12518,12386,13068,13561,12853,13594,14356,14510,14761,14286,12841,12962,12626,10556,8207,6067,4057,13889,11739,7220,4242,2819,2362,14454,10391,6814,3448,2767,2766
PUMA WT,1020,473,13467,12333,13615,13072,12075,11773,13253,11802,11512,10078,9351,8716,13766,13908,12989,12264,12231,11687,13771,13776,14045,14149,13499,14189,17724,18879,19210,19561,20422,20453,15851,14187,12749,8967,5434,4052,15536,12464,6782,3801,2913,2446,14221,11237,6740,3289,2875,2181,12966,13394,11662,14156,14697,14517,13802,14809,15199,16957,17004,16871,12624,10349,10401,10841,7284,6554,13231,12696,12577,13248,13779,13130,13855,14565,14734,14974,14559,13058,13165,12797,10715,8344,6158,4119,14138,11958,7331,4317,2884,2413,14653,10602,6886,3481,2809,2818
PUMA WT,1020,474,13519,12371,13611,13069,12088,11731,13309,11884,11584,10086,9368,8717,13805,13966,13054,12278,12258,11746,13779,13881,14122,14207,13571,14240,17737,18980,19278,19700,20542,20470,15927,14164,12792,9023,5429,4090,15588,12486,6835,3806,2910,2452,14290,11298,6794,3301,2889,2197,13007,13427,11679,14123,14734,14531,13883,14854,15264,17047,17101,16901,12641,10386,10414,10866,7294,6587,13318,12777,12644,13306,13895,13221,13869,14601,14782,15035,14551,13076,13256,12834,10788,8369,6199,4137,14115,11997,7358,4326,2907,2412,14730,10599,6940,3492,2838,2822
PUMA WT,1020,475,13584,12465,13714,13220,12171,11885,13400,11982,11674,10139,9436,8828,13954,14084,13170,12401,12362,11816,13878,13971,14195,14341,13754,14330,17920,19119,19489,19888,20743,20680,16056,14296,12895,9116,5530,4114,15752,12615,6955,3859,2955,2499,14459,11395,6851,3345,2914,2223,13143,13544,11771,14282,14848,14743,14000,14965,15414,17219,17236,17029,12736,10483,10519,10989,7386,6669,13395,12835,12755,13496,14042,13368,14010,14755,14960,15269,14733,13196,13367,12965,10893,8486,6294,4197,14277,12106,7455,4365,2926,2446,14879,10714,7033,3561,2874,2873
PUMA WT,1020,476,13387,12248,13488,12945,11997,11658,13228,11779,11519,10031,9323,8684,13707,13828,12912,12211,12170,11628,13698,13805,14056,14116,13521,14129,17686,18879,19208,19621,20470,20407,15816,14135,12708,8990,5386,4062,15538,12440,6832,3804,2905,2444,14244,11216,6765,3290,2904,2206,12882,13314,11585,14041,14639,14470,13811,14737,15179,16922,16944,16777,12610,10329,10372,10842,7274,6580,13189,12782,12591,13286,13879,13218,13793,14548,14732,14989,14523,13046,13179,12782,10744,8315,6169,4143,13987,11948,7371,4331,2882,2424,14746,10578,6921,3508,2860,2841
PUMA WT,1020,477,13241,12150,13349,12863,11841,11538,13127,11673,11413,9957,9245,8649,13611,13753,12818,12027,12093,11561,13588,13675,13928,14034,13400,13984,17523,18695,19029,19502,20243,20232,15702,13966,12612,8883,5370,4039,15359,12308,6765,3792,2875,2445,14113,11110,6701,3286,2883,2195,12764,13202,11508,13908,14458,14346,13590,14555,14993,16798,16813,16614,12449,10253,10282,10745,7206,6537,13100,12641,12489,13268,13853,13164,13650,14382,14632,14884,14420,12947,13078,12681,10652,8268,6131,4090,13949,11814,7312,4302,2865,2396,14544,10472,6879,3469,2826,2823
PUMA WT,1020,478,12954,11905,13040,12579,11580,11339,12814,11429,11169,9747,9034,8432,13346,13457,12555,11789,11835,11310,13333,13371,13620,13751,13091,13722,17181,18377,18615,19029,19829,19795,15351,13703,12391,8742,5281,3961,15062,12084,6626,3700,2850,2427,13863,10932,6567,3229,2844,2155,12486,12927,11232,13589,14203,14051,13339,14308,14656,16319,16412,16259,12217,10035,10057,10549,7091,6409,12832,12354,12273,12910,13562,12991,13373,14107,14305,14581,14087,12709,12781,12418,10425,8152,6019,4044,13688,11626,7171,4219,2840,2373,14285,10302,6756,3417,2777,2797
PUMA WT,1020,479,12679,11641,12809,12354,11430,11079,12640,11286,10998,9567,8905,8294,13093,13209,12336,11651,11587,11171,13107,13186,13362,13478,12886,13470,16861,18031,18304,18648,19503,19441,15149,13487,12177,8575,5202,3910,14883,11890,6525,3655,2822,2382,13627,10772,6519,3187,2813,2152,12294,12694,11021,13366,13922,13804,13156,14038,14439,16102,16095,15975,12040,9859,9903,10378,6961,6313,12581,12156,12039,12758,13389,12780,13152,13895,14117,14330,13855,12428,12608,12268,10262,7967,5929,3994,13487,11421,7053,4159,2806,2354,14064,10108,6688,3373,2759,2769
PUMA WT,1020,480,12346,11347,12444,12036,11037,10786,12283,10968,10705,9326,8636,8082,12786,12888,12007,11347,11340,10849,12832,12877,13036,13154,12594,13179,16523,17627,17910,18218,18985,18994,14778,13166,11854,8350,5069,3827,14524,11556,6387,3571,2749,2359,13332,10488,6338,3140,2770,2110,11981,12334,10717,13066,13541,13433,12789,13656,14038,15629,15712,15506,11715,9633,9673,10126,6810,6167,12354,11895,11790,12523,13090,12531,12852,13611,13761,13950,13560,12207,12305,11985,10037,7799,5804,3895,13112,11125,6875,4062,2761,2312,13737,9858,6506,3338,2719,2746
PUMA WT,1020,481,12102,11137,12248,11812,10850,10601,12075,10779,10499,9162,8522,7980,12538,12646,11796,11097,11071,10642,12547,12625,12818,12927,12320,12882,16203,17249,17527,17864,18679,18580,14485,12941,11648,8199,4989,3772,14232,11416,6324,3523,2731,2337,13097,10322,6226,3087,2731,2108,11702,12066,10548,12779,13261,13217,12530,13377,13764,15356,15368,15237,11433,9411,9506,9932,6673,6047,12098,11640,11513,12313,12833,12319,12634,13310,13452,13706,13302,11929,12070,11758,9854,7703,5722,3851,12913,10958,6798,4016,2721,2303,13492,9738,6410,3294,2695,2714
PUMA WT,1020,482,11806,10801,11908,11455,10585,10351,11780,10510,10199,8921,8326,7769,12244,12318,11461,10894,10814,10379,12253,12328,12481,12639,12040,12551,15774,16787,17067,17439,18147,18078,14160,12614,11425,8018,4910,3702,13861,11129,6168,3472,2698,2300,12775,10070,6134,3051,2698,2066,11461,11768,10244,12436,12955,12860,12248,13035,13429,14931,15015,14861,11212,9201,9304,9714,6524,5949,11809,11349,11292,11999,12550,12058,12309,12986,13130,13404,12997,11645,11805,11465,9637,7487,5576,3773,12596,10685,6646,3963,2692,2266,13209,9506,6284,3225,2676,2691
PUMA WT,1020,483,11397,10510,11499,11097,10281,9971,11421,10181,9950,8638,8063,7560,11833,11927,11115,10513,10531,10044,11874,11921,12069,12224,11620,12176,15284,16269,16496,16873,17554,17499,13744,12203,11057,7808,4774,3619,13484,10829,6018,3391,2642,2286,12395,9798,5962,2949,2656,2056,11067,11421,9958,11999,12540,12486,11835,12664,12992,14459,14505,14338,10877,8921,8970,9449,6331,5770,11450,11018,10930,11576,12176,11659,11932,12579,12697,12972,12576,11273,11421,11091,9316,7271,5433,3678,12181,10396,6422,3848,2647,2241,12748,9247,6115,3153,2622,2642
PUMA WT,1020,484,11316,10343,11379,10932,10138,9895,11305,10046,9838,8598,8015,7456,11706,11800,11027,10394,10345,9962,11759,11804,11962,12068,11487,12022,15119,16094,16350,16645,17350,17330,13594,12134,10920,7740,4757,3619,13357,10732,5961,3371,2633,2303,12240,9691,5911,2995,2691,2066,10912,11261,9796,11923,12382,12243,11716,12453,12799,14272,14356,14149,10757,8865,8912,9301,6283,5711,11354,10956,10859,11512,12117,11579,11830,12420,12589,12838,12442,11172,11343,10998,9270,7223,5396,3684,12082,10296,6419,3854,2651,2263,12649,9146,6098,3184,2636,2683
PUMA WT,1020,485,11020,10124,11096,10678,9886,9644,11031,9806,9577,8390,7801,7342,11459,11518,10718,10137,10138,9755,11491,11552,11694,11792,11233,11768,14775,15712,15941,16267,16914,16898,13309,11816,10709,7613,4672,3572,13079,10481,5879,3336,2657,2303,11981,9472,5820,2970,2683,2075,10661,11009,9554,11620,12085,11984,11401,12196,12518,13914,13985,13812,10506,8671,8696,9144,6166,5595,11063,10696,10596,11276,11792,11347,11520,12194,12320,12534,12169,10916,11074,10798,9057,7098,5333,3640,11819,10105,6289,3818,2640,2267,12390,9015,6012,3180,2653,2698
PUMA WT,1020,486,10981,10076,11055,10651,9876,9606,11022,9804,9578,8404,7833,7303,11340,11477,10717,10121,10108,9709,11405,11477,11618,11714,11193,11719,14732,15654,15874,16143,16815,16729,13239,11823,10663,7634,4700,3598,13039,10497,5871,3376,2714,2364,11971,9495,5835,3022,2755,2137,10643,10958,9519,11513,11996,11887,11384,12131,12458,13851,13873,13734,10448,8627,8654,9066,6131,5575,11014,10638,10569,11277,11788,11286,11486,12063,12246,12459,12082,10878,11051,10720,9074,7105,5353,3675,11784,10067,6324,3838,2702,2328,12321,8983,6060,3223,2716,2791
PUMA WT,1020,487,10857,9981,10912,10536,9751,9538,10901,9725,9467,8262,7785,7295,11251,11343,10614,9991,9988,9587,11287,11327,11497,11579,11064,11549,14542,15467,15695,15936,16606,16567,13039,11698,10593,7550,4689,3603,12883,10406,5844,3367,2755,2415,11825,9403,5819,3028,2811,2195,10488,10834,9438,11423,11848,11798,11222,11987,12259,13631,13739,13574,10362,8527,8599,9003,6050,5558,10963,10536,10506,11127,11724,11232,11349,12010,12155,12345,11945,10736,10946,10644,8991,7084,5353,3691,11696,10056,6305,3865,2759,2376,12199,8887,6042,3259,2782,2848
PUMA WT,1020,488,10717,9856,10853,10407,9668,9442,10793,9658,9420,8292,7743,7244,11164,11238,10475,9887,9902,9471,11189,11260,11424,11498,10938,11475,14426,15288,15508,15810,16437,16416,12999,11604,10484,7555,4704,3646,12780,10291,5870,3426,2801,2493,11788,9347,5839,3086,2901,2268,10416,10756,9361,11270,11753,11627,11165,11829,12118,13504,13600,13389,10274,8509,8471,8949,6040,5498,10846,10489,10417,11091,11604,11081,11294,11918,11999,12181,11818,10624,10889,10577,8926,7075,5388,3738,11565,9918,6282,3903,2843,2479,12110,8871,6059,3320,2882,2943
PUMA WT,1020,489,10844,9919,10872,10512,9743,9526,10846,9739,9479,8357,7797,7309,11216,11331,10579,9992,9976,9584,11277,11301,11438,11509,10967,11463,14424,15309,15498,15863,16458,16444,13083,11713,10601,7638,4801,3756,12922,10444,5929,3526,2940,2623,11827,9475,5924,3205,3053,2401,10470,10772,9387,11275,11767,11716,11221,11910,12196,13533,13573,13457,10326,8514,8573,9011,6073,5525,10912,10517,10523,11152,11649,11170,11330,11951,12119,12276,11907,10718,10949,10680,9027,7175,5526,3861,11684,10014,6408,4023,2980,2633,12222,8964,6191,3455,3036,3136
PUMA WT,1020,490,10938,10018,11003,10596,9819,9601,10971,9812,9586,8453,7866,7414,11311,11439,10659,10016,10033,9658,11376,11370,11532,11625,11080,11552,14570,15454,15679,15947,16567,16527,13232,11805,10706,7770,4947,3894,12995,10531,6051,3641,3087,2793,11970,9600,6106,3343,3245,2585,10562,10887,9472,11411,11869,11760,11293,11964,12277,13612,13634,13467,10443,8591,8654,9118,6154,5633,11014,10659,10599,11254,11827,11289,11432,12057,12145,12352,11979,10783,11030,10804,9129,7296,5672,3984,11773,10197,6542,4200,3141,2788,12316,9084,6326,3615,3219,3361
PUMA WT,1020,491,10963,10059,11037,10647,9898,9673,11063,9895,9675,8510,7953,7484,11383,11534,10688,10144,10125,9702,11437,11399,11556,11626,11122,11578,14579,15433,15626,15938,16501,16532,13251,11876,10808,7868,5076,4038,13050,10612,6240,3783,3286,3008,12039,9716,6243,3494,3467,2782,10616,10933,9496,11399,11870,11790,11347,12034,12282,13583,13681,13501,10531,8682,8713,9128,6202,5694,11098,10767,10669,11371,11868,11360,11496,12086,12245,12422,12024,10834,11108,10882,9261,7443,5860,4124,11860,10260,6669,4338,3351,2988,12386,9211,6524,3804,3461,3637
PUMA WT,1020,492,11330,10345,11341,10999,10173,9913,11384,10169,9996,8787,8282,7742,11738,11800,11024,10352,10381,9999,11749,11730,11843,11953,11387,11871,14969,15813,16053,16340,16965,16934,13595,12243,11132,8201,5335,4292,13427,10959,6478,4042,3572,3302,12346,10050,6584,3807,3830,3060,10902,11230,9711,11694,12172,12065,11655,12342,12576,13912,13952,13799,10808,8963,9013,9458,6393,5855,11380,11050,10990,11691,12268,11661,11815,12445,12536,12796,12338,11113,11391,11188,9589,7731,6116,4407,12193,10596,6997,4639,3657,3280,12744,9562,6900,4137,3813,4015
